,1,2
10454,,start txn 59
10455,release lock 536900749115690 from retired,
10458,start txn 256,
10459,,wait EX lock 536900749115690
10460,,acquire lock 536900749115690
10461,,remove lock 536900749115690 from owners
10462,,retire lock 536900749115690
10463,,wait EX lock 536901320769112
10464,,acquire lock 536901320769112
10465,,remove lock 536901320769112 from owners
10466,,retire lock 536901320769112
10467,,wait SH lock 536900749123440
10468,,acquire lock 536900749123440
10469,,remove lock 536900749123440 from owners
10470,,retire lock 536900749123440
10471,,wait EX lock 536900743436293
10472,,acquire lock 536900743436293
10473,,remove lock 536900743436293 from owners
10474,,retire lock 536900743436293
10475,,wait SH lock 536901135006095
10476,,acquire lock 536901135006095
10477,,remove lock 536901135006095 from owners
10478,,retire lock 536901135006095
10479,,wait EX lock 536900743459196
10480,,acquire lock 536900743459196
10481,,remove lock 536900743459196 from owners
10482,,retire lock 536900743459196
10483,,wait SH lock 536901135100100
10484,,acquire lock 536901135100100
10485,,remove lock 536901135100100 from owners
10486,,retire lock 536901135100100
10487,,wait EX lock 536900724123117
10488,,acquire lock 536900724123117
10489,,remove lock 536900724123117 from owners
10490,,retire lock 536900724123117
10491,,wait SH lock 536901067982348
10492,,acquire lock 536901067982348
10493,,remove lock 536901067982348 from owners
10494,,retire lock 536901067982348
10495,,wait EX lock 536900680504323
10496,,acquire lock 536900680504323
10497,,remove lock 536900680504323 from owners
10498,,retire lock 536900680504323
10499,,wait SH lock 536900911435077
10500,,acquire lock 536900911435077
10501,,remove lock 536900911435077 from owners
10502,,retire lock 536900911435077
10503,wait EX lock 536900749115690,
10504,acquire lock 536900749115690,
10505,remove lock 536900749115690 from owners,
10506,retire lock 536900749115690,
10507,"txn 256 increment barrier, now should be 1",
10508,wait EX lock 536901499014176,
10509,acquire lock 536901499014176,
10510,remove lock 536901499014176 from owners,
10511,retire lock 536901499014176,
10512,wait SH lock 536900749128487,
10513,acquire lock 536900749128487,
10514,remove lock 536900749128487 from owners,
10515,retire lock 536900749128487,
10516,wait EX lock 536900671684312,
10517,acquire lock 536900671684312,
10518,remove lock 536900671684312 from owners,
10519,retire lock 536900671684312,
10520,wait SH lock 536900878916272,
10521,acquire lock 536900878916272,
10522,remove lock 536900878916272 from owners,
10523,retire lock 536900878916272,
10524,wait EX lock 536900690221083,
10525,acquire lock 536900690221083,
10526,remove lock 536900690221083 from owners,
10527,retire lock 536900690221083,
10528,wait SH lock 536900945003579,
10529,acquire lock 536900945003579,
10530,remove lock 536900945003579 from owners,
10531,retire lock 536900945003579,
10532,wait EX lock 536900736140475,
10533,acquire lock 536900736140475,
10534,remove lock 536900736140475 from owners,
10535,retire lock 536900736140475,
10536,wait SH lock 536901108204273,
10537,acquire lock 536901108204273,
10538,remove lock 536901108204273 from owners,
10539,retire lock 536901108204273,
10540,wait EX lock 536900656160397,
10541,acquire lock 536900656160397,
10542,remove lock 536900656160397 from owners,
10543,retire lock 536900656160397,
10544,wait SH lock 536900824811266,
10545,acquire lock 536900824811266,
10546,remove lock 536900824811266 from owners,
10547,retire lock 536900824811266,
10548,wait EX lock 536900742172156,
10549,acquire lock 536900742172156,
10550,remove lock 536900742172156 from owners,
10551,retire lock 536900742172156,
10552,wait SH lock 536901130457102,
10553,acquire lock 536901130457102,
10554,remove lock 536901130457102 from owners,
10555,retire lock 536901130457102,
10556,,wait EX lock 536900652796333
10557,,acquire lock 536900652796333
10558,,remove lock 536900652796333 from owners
10559,,retire lock 536900652796333
10560,,wait SH lock 536900811944619
10561,,acquire lock 536900811944619
10562,,remove lock 536900811944619 from owners
10563,,retire lock 536900811944619
10564,,wait EX lock 536900739616830
10565,,acquire lock 536900739616830
10566,,remove lock 536900739616830 from owners
10567,,retire lock 536900739616830
10568,,wait SH lock 536901121085255
10569,,acquire lock 536901121085255
10570,,remove lock 536901121085255 from owners
10571,,retire lock 536901121085255
10572,,wait EX lock 536900716636619
10573,,acquire lock 536900716636619
10574,,remove lock 536900716636619 from owners
10575,,retire lock 536900716636619
10576,,wait SH lock 536901039990756
10577,,acquire lock 536901039990756
10578,,remove lock 536901039990756 from owners
10579,,retire lock 536901039990756
10580,,wait EX lock 536900744404825
10581,,acquire lock 536900744404825
10582,,remove lock 536900744404825 from owners
10583,,retire lock 536900744404825
10584,,wait SH lock 536901138736294
10585,,acquire lock 536901138736294
10586,,remove lock 536901138736294 from owners
10587,,retire lock 536901138736294
10588,,wait EX lock 536900705310001
10589,,acquire lock 536900705310001
10590,,remove lock 536900705310001 from owners
10591,,retire lock 536900705310001
10592,,wait SH lock 536901000495686
10593,,acquire lock 536901000495686
10594,,remove lock 536901000495686 from owners
10595,,retire lock 536901000495686
10596,,wait EX lock 536900651730692
10597,,acquire lock 536900651730692
10598,,remove lock 536900651730692 from owners
10599,,retire lock 536900651730692
10600,,wait SH lock 536900807923315
10601,,acquire lock 536900807923315
10602,,remove lock 536900807923315 from owners
10603,,retire lock 536900807923315
10604,,wait EX lock 536900744472628
10605,,acquire lock 536900744472628
10606,,remove lock 536900744472628 from owners
10607,,retire lock 536900744472628
10608,,wait SH lock 536901138991731
10609,,acquire lock 536901138991731
10610,,remove lock 536901138991731 from owners
10611,,retire lock 536901138991731
10612,,wait EX lock 536900656160397
10613,,acquire lock 536900656160397
10614,,remove lock 536900656160397 from owners
10615,,retire lock 536900656160397
10616,,"txn 59 increment barrier, now should be 1"
10617,,wait SH lock 536900824811266
10618,,acquire lock 536900824811266
10619,,remove lock 536900824811266 from owners
