WW_STARV_FREE,MAX_TXN_PER_PART,MAX_RUNTIME,DEBUG_CS_PROFILING,TERMINIATE_BY_COUNT,ZIPF_THETA,LATCH,SYNTH_TABLE_SIZE,CC_ALG,LONG_TXN_RATIO,READ_PERC,ABORT_PENALTY,LAST_RETIRE,BB_OPT_MAX_WAITER,MAX_ROW_PER_TXN,UNSET_NUMA,NUM_HS,DEBUG_PROFILING,REQ_PER_QUERY,SPECIFIED_RATIO,THREAD_CNT,BB_OPT_RAW,FIXED_HS,KEY_ORDER,WORKLOAD,SECOND_HS,DEBUG_ABORT_LENGTH,FIRST_HS,POS_HS,RETIRE_ON,DYNAMIC_TS,FLIP_RATIO,SYNTHETIC_YCSB,cycle_detect,cascading_abort_times,time_abort,time_get_cs,user_abort_cnt,max_abort_length,time_index,latency,time_cleanup,txn_cnt,time_man,time_wait,txn_cnt_long,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,dl_detect_time,time_release_latch,time_query,wait_cnt,time_retire_latch,abort_cnt_long,abort_cnt,time_commit,abort_length,throughput,time_retire_cs,commit_latency,time_ts_alloc
false,1000000,10,false,false,0.9,LH_MCSLOCK,10000000,BAMBOO,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,1000,5,false,false,0.9,LH_MCSLOCK,10000000,BAMBOO,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 48.8924, 0, 0, 0, 0.958137, 40641108, 40.6037, 1941, 25.4462, 4.16864, 165,0, 0, 0, 80.1894,0,0, 0, 8.24273, 18009, 0, 84468, 106570, 38.5405, 0,387.283, 0, 16124200, 0
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,BAMBOO,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 103.155, 0, 0, 0, 1.67593, 36598745, 69.3613, 4345, 46.7597, 6.52238, 421,0, 0, 0, 160.039,0,0, 0, 25.4861, 53024, 0, 278554, 329526, 63.5926, 0,434.393, 0, 13091865, 0
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,BAMBOO,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 102.939, 0, 0, 0, 1.58418, 34338019, 71.4969, 4631, 46.8033, 6.68796, 442,0, 0, 0, 160.067,0,0, 0, 24.1872, 51331, 0, 256872, 313082, 65.846, 0,462.905, 0, 12336170, 0
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,BAMBOO,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 101.779, 0, 0, 0, 1.61955, 32814904, 72.6686, 4841, 48.813, 5.74, 469,0, 0, 0, 160.085,0,0, 0, 25.7108, 51216, 0, 278977, 332780, 66.6859, 0,483.842, 0, 12044248, 0
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,BAMBOO,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 103.963, 0, 0, 0, 1.63578, 37994371, 70.4679, 4196, 46.2779, 6.3228, 408,0, 0, 0, 160.064,0,0, 0, 24.6532, 49860, 0, 270880, 318817, 64.8675, 0,419.432, 0, 13370093, 0
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,WOUND_WAIT,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 89.1432, 0, 0, 0, 1.89759, 35756276, 1.58696, 4473, 6.64895, 60.7457, 432,0, 0, 0, 160.15,0,0, 0, 0.757921, 22756, 0, 4730, 9756, 0, 0,446.881, 0, 15874548, 2058503
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,WOUND_WAIT,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 88.8611, 0, 0, 0, 1.63859, 28591671, 1.87668, 5571, 6.57944, 60.9459, 528,0, 0, 0, 160.124,0,0, 0, 0.914286, 27667, 0, 5663, 11821, 0, 0,556.669, 0, 12791751, 2425835
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,WOUND_WAIT,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 87.2185, 0, 0, 0, 1.73051, 29553236, 1.84386, 5408, 6.58032, 62.638, 507,0, 0, 0, 160.169,0,0, 0, 0.900405, 27134, 0, 5847, 11642, 0, 0,540.228, 0, 13489434, 2278267
false,1000,10,false,false,0.9,LH_MCSLOCK,10000000,SILO,0.1,0.5,50000,0.15,0,10000,true,0,true,16,0,16,true,1,false,YCSB,WR,false,WR,TOP,true,true,0,false,0, 0, 150.993, 0, 0, 0, 0.183424, 135414220, 147.425, 883, 9.36819, 0, 78,0, 0, 0, 160.907,0,0, 0, 0.101594, 0, 0, 1230, 1290, 0, 0,87.8024, 0, 11227883, 0
