cycle_detect,cascading_abort_times,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,max_abort_length,time_index,BB_OPT_MAX_WAITER,ZIPF_THETA,LATCH,SYNTH_TABLE_SIZE,CC_ALG,latency,time_cleanup,WORKLOAD,txn_cnt,READ_PERC,ABORT_PENALTY,LAST_RETIRE,time_man,WW_STARV_FREE,time_wait,SECOND_HS,NUM_HS,DEBUG_PROFILING,REQ_PER_QUERY,SPECIFIED_RATIO,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,FIXED_HS,time_get_latch,KEY_ORDER,run_time,UNSET_NUMA,deadlock_cnt,dl_detect_time,time_release_latch,time_query,wait_cnt,time_retire_latch,DEBUG_ABORT_LENGTH,FIRST_HS,abort_cnt,time_commit,POS_HS,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,FLIP_RATIO,SYNTHETIC_YCSB,commit_latency,time_ts_alloc,LONG_TXN_RATIO,MAX_ROW_PER_TXN
0, 0, 0, 0,100000,false, 0, 0, 13.4367,0,0.5,LH_MCSLOCK,200000000,BAMBOO, 48974, 2.07435,YCSB, 1337214,0.5,50000,0.15, 39.7476,false, 4.65e-07,WR,0,true,16,0,16,true,0, 0,1, 0,false, 65.4893,true,0,0, 0, 0.0481699, 1, 0,false,WR, 0, 0.0162974,TOP, 0,true,true,326701, 0,0,false, 48974, 0,,
0, 0, 0, 0,100000,false, 0, 0, 15.186,0,0.5,LH_MCSLOCK,200000000,BAMBOO, 47097, 1.97954,YCSB, 1400805,0.5,50000,0.15, 37.8605,false, 5.46e-07,WR,0,true,16,0,16,true,0, 0,1, 0,false, 65.9747,true,0,0, 0, 0.0486048, 1, 0,false,WR, 0, 0.016584,TOP, 0,true,true,339719, 0,0,false, 47097, 0,,
0, 0, 0, 0,100000,false, 0, 0, 17.4342,0,0.5,LH_MCSLOCK,200000000,BAMBOO, 56756, 2.17186,YCSB, 1283329,0.5,50000,0.15, 42.7055,false, 0,WR,0,true,16,0,16,true,0, 0,1, 0,false, 72.8375,true,0,0, 0, 0.0509451, 0, 0,false,WR, 0, 0.0161588,TOP, 0,true,true,281905, 0,0,false, 56756, 0,,
0, 0, 0, 0,100000,false, 0, 0, 19.2117,0,0.5,LH_MCSLOCK,200000000,BAMBOO, 55284, 2.47071,YCSB, 1439345,0.5,50000,0.15, 46.5862,false, 8.57e-07,WR,0,true,16,0,16,true,0, 0,1, 0,false, 79.5728,true,0,0, 0, 0.0560059, 1, 0,false,WR, 0, 0.0179852,TOP, 0,true,true,289414, 0,0,false, 55284, 0,,
0, 0, 0, 0,100000,false, 0, 0, 18.3715,0,0.5,LH_MCSLOCK,200000000,BAMBOO, 54899, 2.09012,YCSB, 1320502,0.5,50000,0.15, 41.7773,false, 0,WR,0,true,16,0,16,true,0, 0,1, 0,false, 72.4953,true,0,0, 0, 0.0488071, 0, 0,false,WR, 0, 0.0162939,TOP, 0,true,true,291440, 0,0,false, 54899, 0,,
0, 0, 0.000220472, 0,100000,false, 0, 0, 9.27446,0,0.7,LH_MCSLOCK,200000000,BAMBOO, 33908, 1.48636,YCSB, 1499097,0.5,50000,0.15, 29.4434,false, 0.000237442,WR,0,true,16,0,16,true,0, 0,1, 0,false, 50.8321,true,0,0, 0, 0.0329594, 131, 0,false,WR, 9, 0.0340827,TOP, 0,true,true,471858, 0,0,false, 33908, 0,,
0, 0, 0.000715445, 0,100000,false, 0, 0, 13.1482,0,0.7,LH_MCSLOCK,200000000,BAMBOO, 41944, 1.77834,YCSB, 1402808,0.5,50000,0.15, 34.0109,false, 0.000428763,WR,0,true,16,0,16,true,0, 0,1, 0,false, 58.8403,true,0,0, 0, 0.0405504, 125, 0,false,WR, 16, 0.0543525,TOP, 0,true,true,381455, 0,0,false, 41944, 0,,
0, 0, 0.0161475, 0,100000,false, 0, 0, 17.3558,0,0.7,LH_MCSLOCK,200000000,BAMBOO, 53171, 2.27972,YCSB, 1309501,0.5,50000,0.15, 40.6898,false, 0.000465941,WR,0,true,16,0,16,true,0, 0,1, 0,false, 69.6279,true,0,0, 0, 0.0535816, 123, 0,false,WR, 18, 0.0701815,TOP, 0,true,true,300914, 0,0,false, 53158, 0,,
0, 0, 0.000222239, 0,100000,false, 0, 0, 14.6832,0,0.7,LH_MCSLOCK,200000000,BAMBOO, 52931, 2.15303,YCSB, 1274250,0.5,50000,0.15, 41.7902,false, 0.000464739,WR,0,true,16,0,16,true,0, 0,1, 0,false, 67.448,true,0,0, 0, 0.051853, 102, 0,false,WR, 6, 0.0568134,TOP, 0,true,true,302277, 0,0,false, 52931, 0,,
0, 0, 0.000217936, 0,100000,false, 0, 0, 15.2227,0,0.7,LH_MCSLOCK,200000000,BAMBOO, 45516, 2.28249,YCSB, 1473007,0.5,50000,0.15, 39.0178,false, 0.000429279,WR,0,true,16,0,16,true,0, 0,1, 0,false, 67.0454,true,0,0, 0, 0.05133, 124, 0,false,WR, 4, 0.0505078,TOP, 0,true,true,351524, 0,0,false, 45515, 0,,
