alg,threads,txn_len,num_hs,pos_hs,synthetic,zipfian,read_ratio,throughput,debug2,debug9,debug10,abort_cnt,txn_cnt,file
CLV,1,16,1,TOP,TRUE,0,1,466.002244,0,-nan,0,0,200,13-13-44_20200220
NO_WAIT,1,16,1,TOP,TRUE,0,1,485.32852,0,-nan,0,0,200,13-13-09_20200220
SILO,1,16,1,TOP,TRUE,0,1,482.54625,0,-nan,0,0,200,13-14-19_20200220
WAIT_DIE,1,16,1,TOP,TRUE,0,1,465.923937,0,-nan,0,0,200,13-15-29_20200220
WOUND_WAIT,1,16,1,TOP,TRUE,0,1,470.063612,0,-nan,0,0,200,13-14-53_20200220
CLV,2,16,1,TOP,TRUE,0,1,554.22959,0,-nan,0,0,400,13-16-39_20200220
NO_WAIT,2,16,1,TOP,TRUE,0,1,297.590005,0,-nan,0,2753,366,13-16-04_20200220
SILO,2,16,1,TOP,TRUE,0,1,304.841141,0,-nan,0,317,326,13-17-15_20200220
WAIT_DIE,2,16,1,TOP,TRUE,0,1,334.000893,0,-nan,0,1919,394,13-18-26_20200220
WOUND_WAIT,2,16,1,TOP,TRUE,0,1,443.204353,0,-nan,0,0,400,13-17-50_20200220
CLV,4,16,1,TOP,TRUE,0,1,847.261627,0,-nan,0,0,800,13-19-39_20200220
NO_WAIT,4,16,1,TOP,TRUE,0,1,234.275513,0,-nan,0,16601,724,13-19-02_20200220
SILO,4,16,1,TOP,TRUE,0,1,229.550163,0,-nan,0,1688,573,13-20-15_20200220
WAIT_DIE,4,16,1,TOP,TRUE,0,1,262.368245,0,-nan,0,11746,756,13-21-28_20200220
WOUND_WAIT,4,16,1,TOP,TRUE,0,1,433.95421,0,-nan,0,0,800,13-20-52_20200220
CLV,8,16,1,TOP,TRUE,0,1,1357.469599,0,-nan,0,0,1598,13-22-48_20200220
NO_WAIT,8,16,1,TOP,TRUE,0,1,199.721863,0,-nan,0,79193,1480,13-22-06_20200220
SILO,8,16,1,TOP,TRUE,0,1,183.242316,0,-nan,0,7266,1057,13-23-24_20200220
WAIT_DIE,8,16,1,TOP,TRUE,0,1,211.525811,0,-nan,0,55708,1523,13-24-42_20200220
WOUND_WAIT,8,16,1,TOP,TRUE,0,1,422.38703,0,-nan,0,0,1600,13-24-04_20200220
CLV,16,16,1,TOP,TRUE,0,1,1795.76625,0,-nan,0,0,3198,13-26-17_20200220
NO_WAIT,16,16,1,TOP,TRUE,0,1,149.25538,0,-nan,0,322254,2782,13-25-24_20200220
SILO,16,16,1,TOP,TRUE,0,1,119.114214,0,-nan,0,31954,2178,13-26-54_20200220
WAIT_DIE,16,16,1,TOP,TRUE,0,1,170.800394,0,-nan,0,236477,3078,13-28-29_20200220
WOUND_WAIT,16,16,1,TOP,TRUE,0,1,408.589619,0,-nan,0,0,3200,13-27-47_20200220
CLV,32,16,1,TOP,TRUE,0,1,1841.589553,0,-nan,0,0,6399,13-30-51_20200220
NO_WAIT,32,16,1,TOP,TRUE,0,1,100.947127,0,-nan,0,1354581,5494,13-29-22_20200220
SILO,32,16,1,TOP,TRUE,0,1,60.691616,0,-nan,0,129341,4294,13-31-29_20200220
WAIT_DIE,32,16,1,TOP,TRUE,0,1,123.106062,0,-nan,0,988812,6124,13-34-10_20200220
WOUND_WAIT,32,16,1,TOP,TRUE,0,1,301.988898,0,-nan,0,0,6400,13-33-14_20200220
