ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,16,YCSB,False,0,4663,0,0,10.580732000000001,7,5,236,3.4855650000000002,0.675761,0.22529000000000002,1.8940740000000003,1.845066,50.222173,2.194915,0,0,5.9e-05,94.056759,271269.2228,0.065981,55.648073,4.374351,78.222356,0.383139,0.0,0.072109,1594669,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.0,True,True,1024*1024*20,32,YCSB,False,0,10729,0,0,21.229503,17,13,777,10.41043,1.866885,0.565048,4.939736,3.889669,323.054459,2.473616,0,0,0.000131,419.93082400000003,243736.1445,0.280411,335.43832799999996,9.764635,387.15549300000004,0.8772629999999999,0.0,0.24821100000000001,3198510,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,16,YCSB,False,0,829061,0,0,9.68405,16,15,47348,1.721868,0.982187,0.307735,2.170366,1.305118,7.177192,2.244783,0,0,4.6e-05,107.500919,212564.9543,42.441274,11.570378999999999,2.344039,25.716461,63.734843999999995,0.0,0.184607,1428183,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.25,True,True,1024*1024*20,32,YCSB,False,0,2637559,0,0,29.273438,32,31,242943,8.030379,8.558364,1.25765,16.449447,4.1636239999999995,108.23074799999999,2.403733,0,0,9.6e-05,463.529846,207034.746,174.76507900000001,131.493521,4.116572,155.23598700000002,204.38874199999998,0.0,19.336934,2998962,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,16,YCSB,False,0,1771680,0,0,10.874858999999999,16,15,140542,1.884162,1.030225,0.34179699999999996,2.9059209999999998,1.594611,6.177684999999999,2.346039,0,0,5.1e-05,186.255908,130414.9769,108.62729399999999,12.007609,2.4304650000000003,20.963117999999998,136.051029,0.0,0.185423,1518160,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.5,True,True,1024*1024*20,32,YCSB,False,0,5905999,0,0,26.68191,32,26,552791,5.910255,6.664421000000001,1.294808,15.666898000000002,4.332168,12.521367,2.368749,0,0,6.4e-05,588.965369,171712.86,386.048158,36.003033,2.806741,41.774238000000004,455.372213,0.0,3.934554,3160404,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,16,YCSB,False,0,2432847,0,0,11.175157,16,15,333121,2.005518,1.105723,0.337796,3.867295,1.67485,12.915887,2.42789,0,0,4.5e-05,246.463983,98750.46121000001,178.60529,20.274673999999997,2.241182,17.357423999999998,186.710518,0.0,0.06982200000000001,1521152,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,32,YCSB,False,0,8700862,0,0,32.366296999999996,32,31,1040555,7.51945,7.332275,1.4786350000000001,22.070999999999998,5.3748569999999996,28.633293,2.571305,0,0,6.3e-05,850.670976,117447.4301,654.364293,61.462803,3.441906,36.797534000000006,667.829329,0.0,2.7815830000000004,3122160,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,1.0,True,True,1024*1024*20,16,YCSB,False,0,3653057,0,0,12.10244,16,15,588979,2.710457,1.9922689999999998,0.400325,8.546678,1.975469,29.23285,2.592047,0,0,3.8e-05,369.250527,63398.604179999995,313.75255400000003,42.400652,3.4158269999999997,17.525001,280.775149,0.0,0.124243,1463123,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,1.0,True,True,1024*1024*20,32,YCSB,False,0,11553869,0,0,38.912648,32,31,1465914,9.508819,10.412999000000001,1.747309,40.139363,6.311768,72.78375,2.763793,0,0,5.6000000000000006e-05,1150.913018,85201.05902999999,978.6533099999999,126.64110500000001,4.064612,34.194506,881.708075,0.0,3.4487019999999995,3064344,,,,,,,,,,,,,,,,,
