ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 1, 0, 304540,0,0,0,0, 304541, 487.263,52538.1, 0.000294598, 2.81468, 0, 0.877037, 10.8543, 4.527, 20.1905, 0.032128, 0.324432, 1.31529, 0, 0, 171526501, 453.219, 1599990, 0, 1599989
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 5, 0, 265363,0,0,0,0, 265364, 424.571,60294.4, 0.00126324, 3.11229, 0, 0.909507, 11.1056, 5.36367, 22.0191, 0.0355694, 0.362698, 1.49139, 0, 0, 199797774, 387.342, 1599954, 0, 1599953
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 6, 0, 164281,0,0,0,0, 164282, 262.843,97393.4, 0.00117804, 3.1794, 0, 1.24695, 11.2343, 4.44706, 21.3112, 0.0348019, 0.351784, 1.54682, 0, 0, 193301104, 227.375, 1599946, 0, 1599945
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 204, 0, 85395,0,0,0,0, 85411, 136.61,187329, 0.0257263, 3.65576, 0, 1.49277, 11.7005, 4.59352, 22.5154, 0.0538982, 0.386423, 1.88021, 0, 0, 204078861, 98.9656, 1599440, 0, 1599439
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 164446, 0, 25507,0,0,0,0, 27756, 40.2395,576574, 3.25256, 2.61172, 0, 0.406822, 10.3336, 2.09551, 14.5474, 12.7126, 0.275462, 1.36575, 0, 0, 153240768, 0.317809, 1450068, 0, 270211
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 44672,0,0,0,0, 44672, 71.3705,358161, 0, 37.925, 33.6509, 1.21567, 11.9433, 3.52542, 56.5033, 0.0381713, 0.767632, 2.35213, 0.283505, 1.12482, 0, 0.556823, 1597632, 0, 628489
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 0, 0, 42286,0,0,0,0, 42286, 67.1908,378367, 0, 33.3867, 28.8827, 1.29842, 11.8425, 3.17553, 51.6947, 0.0457773, 0.81009, 2.6338, 0.326209, 1.34795, 0, 0.946037, 1588927, 0, 750102
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 0, 0, 34537,0,0,0,0, 34537, 54.9606,463267, 0, 21.7263, 17.299, 1.03603, 12.3885, 2.13681, 39.4052, 0.042702, 0.715739, 2.62019, 0.347833, 1.5041, 0, 2.20681, 1591340, 0, 1142006
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 0, 0, 32576,0,0,0,0, 32576, 51.0674,491144, 0, 11.2748, 6.61626, 0.956844, 12.4267, 2.63146, 28.6619, 0.0346548, 0.634144, 2.99111, 0.386828, 1.75871, 0, 8.25232, 1567592, 0, 1455122
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 0, 0, 22676,0,0,0,0, 22676, 35.8061,705577, 0, 3.31117, 0.0155271, 0.778059, 12.22, 2.92393, 21.4607, 0.0352014, 0.402485, 1.76415, 0, 0, 0, 2.59957, 1578996, 0, 996675
