ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_READ,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0,true,true,1024*1024*20,16,YCSB,false,0,3196,0,0,10.958489,0.000000,0.000000,0.000000,0.983181,0.609045,0.152470,1.994990,1.150838,53.476110,-nan,0.000000,0.000000,0.000058,92.904181,275229.119974,0.053930,58.998149,3.371697,77.780929,0.269185,0.000000,0.056286,1598121
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0.25,true,true,1024*1024*20,16,YCSB,false,0,400848,0,0,12.132978,0.000000,0.000000,0.000000,1.133661,0.819884,0.165087,2.301074,1.114107,17.658912,-nan,0.000000,0.000000,0.000044,91.353881,268589.969547,24.064681,23.264793,3.335546,40.449174,30.917167,0.000000,0.410851,1533546
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0.5,true,true,1024*1024*20,16,YCSB,false,0,873349,0,0,11.331334,0.000000,0.000000,0.000000,0.668336,0.653468,0.149722,2.076491,1.021521,4.853292,-nan,0.000000,0.000000,0.000035,111.559660,217674.525924,57.808020,10.163571,2.425229,22.290225,67.181255,0.000000,0.223388,1517731
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0.75,true,true,1024*1024*20,16,YCSB,false,0,690188,0,0,11.360170,0.000000,0.000000,0.000000,0.340294,0.440004,0.095376,1.619302,0.845507,1.304023,-nan,0.000000,0.000000,0.000035,91.806097,274198.260894,37.297962,6.009116,2.301898,17.817966,53.066722,0.000000,0.119710,1573317
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,1,true,true,1024*1024*20,16,YCSB,false,0,140662,0,0,10.874510,0.000000,0.000000,0.000000,0.062189,0.402182,0.042821,0.929730,0.463710,0.108368,-nan,0.000000,0.000000,0.000026,43.717327,560481.480881,4.280238,3.504067,2.723043,17.939554,10.840550,0.000000,0.194200,1531422
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0,true,true,1024*1024*20,16,YCSB,false,0,7104,0,0,11.032455,0.000000,0.000000,0.000000,1.117229,0.710034,0.172491,2.141068,1.216157,53.802743,-nan,0.000000,0.000000,0.000061,96.380275,264010.367997,0.103754,59.447891,4.194413,79.066984,0.573835,0.000000,0.142618,1590337
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0.25,true,true,1024*1024*20,16,YCSB,false,0,412095,0,0,11.802268,0.000000,0.000000,0.000000,1.142808,0.824399,0.163394,2.301095,1.123857,20.345767,-nan,0.000000,0.000000,0.000047,94.813096,255489.599395,24.185367,25.957476,3.551517,42.805498,31.821901,0.000000,0.431300,1513985
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0.5,true,true,1024*1024*20,16,YCSB,false,0,844136,0,0,10.563007,0.000000,0.000000,0.000000,0.571903,0.559213,0.127648,1.865129,0.936622,3.626408,-nan,0.000000,0.000000,0.000032,105.176924,231766.428111,56.468227,8.548162,2.489112,19.840166,64.858794,0.000000,0.126809,1523530
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,0.75,true,true,1024*1024*20,16,YCSB,false,0,702824,0,0,10.135567,0.000000,0.000000,0.000000,0.347636,0.480023,0.100154,1.682452,0.849055,1.629840,-nan,0.000000,0.000000,0.000035,91.060041,269864.144242,36.677146,6.222105,2.317652,16.670460,54.079312,0.000000,0.097643,1535865
50000,CLV,0,0,true,false,false,WR,1,0,false,100000,1,SPECIFIED,1,16,false,1,true,true,1024*1024*20,16,YCSB,false,0,148941,0,0,10.975888,0.000000,0.000000,0.000000,0.067329,0.422854,0.045495,0.943331,0.480991,0.113707,-nan,0.000000,0.000000,0.000026,45.015165,546251.474587,4.611573,3.556470,2.851200,18.281215,11.463230,0.000000,0.204334,1536850
