ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_READ,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,4,false,0,true,true,1024*1024*20,1,YCSB,false,0,0,0,0,0.050900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005504,0.005032,0.001058,-nan,0.000000,0.000000,0.000007,0.735188,136019.708059,0.000000,0.030245,0.279007,0.382839,0.001126,0.000000,0.000000,100000
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,16,false,0,true,true,1024*1024*20,1,YCSB,false,0,0,0,0,0.280779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024626,0.022522,0.001079,-nan,0.000000,0.000000,0.000022,2.170972,46062.315620,0.000000,0.117246,0.457964,1.251208,0.000998,0.000000,0.000000,100000
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,64,false,0,true,true,1024*1024*20,1,YCSB,false,0,0,0,0,1.285983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102590,0.087647,0.001076,-nan,0.000000,0.000000,0.000062,6.180843,16179.022743,0.000000,0.456410,0.738661,3.357891,0.000965,0.000000,0.000000,100000
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,4,false,0,true,true,1024*1024*20,2,YCSB,false,0,0,0,0,0.393195,0.000000,0.000000,0.000000,0.108248,0.050580,0.007257,0.105783,0.088744,0.697797,-nan,0.000000,0.000000,0.000020,4.043955,98909.118752,0.000000,0.934706,0.908859,2.822960,0.002246,0.000000,0.001063,199992
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,16,false,0,true,true,1024*1024*20,2,YCSB,false,0,0,0,0,1.570113,0.000000,0.000000,0.000000,0.241607,0.018072,0.006690,0.147005,0.135320,1.587141,-nan,0.000000,0.000000,0.000060,12.091553,33068.705579,0.000000,1.971034,2.754601,8.084030,0.002822,0.000000,0.003826,199926
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,64,false,0,true,true,1024*1024*20,2,YCSB,false,0,0,0,0,5.870037,0.000000,0.000000,0.000000,0.891310,0.012769,0.006175,0.456595,0.268269,2.020322,-nan,0.000000,0.000000,0.000131,25.984912,15292.874411,0.000000,3.099879,3.552348,16.997415,0.002918,0.000000,0.001465,198692
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,4,false,0,true,true,1024*1024*20,4,YCSB,false,0,0,0,0,0.926894,0.000000,0.000000,0.000000,0.285768,0.202224,0.063824,0.333526,0.253708,2.188584,-nan,0.000000,0.000000,0.000024,9.731103,164212.010213,0.000000,2.883305,2.039865,6.817735,0.006081,0.000000,0.029612,399491
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,16,false,0,true,true,1024*1024*20,4,YCSB,false,0,0,0,0,3.023530,0.000000,0.000000,0.000000,0.486195,0.031618,0.015480,0.263138,0.255701,2.789449,-nan,0.000000,0.000000,0.000043,17.140117,93219.199252,0.000000,3.509805,2.804650,11.658926,0.005754,0.000000,0.003030,399447
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,64,false,0,true,true,1024*1024*20,4,YCSB,false,0,0,0,0,11.837643,0.000000,0.000000,0.000000,2.027648,0.027355,0.012577,0.877641,0.526323,5.191368,-nan,0.000000,0.000000,0.000120,47.939796,33364.597808,0.000000,7.300677,5.416617,31.520917,0.005166,0.000000,0.002244,399873
50000,CLV,0,true,false,true,WR,1,0,false,100000,1,TOP,1,4,false,0,true,true,1024*1024*20,8,YCSB,false,0,0,0,0,2.209738,0.000000,0.000000,0.000000,0.871334,0.758768,0.173771,1.112039,0.477673,10.551247,-nan,0.000000,0.000000,0.000033,26.000388,245739.719417,0.000000,12.428765,3.044883,20.163014,0.009932,0.000000,0.659720,798666
