ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_READ,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,True,0,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,False,0.0,True,True,1024*1024*20,16,YCSB,False,0,15689,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.702666,,0.0,0.0,5.3e-05,85.299543,299228.23777300003,0.234526,45.10649,3.84763,69.037013,1.237415,0.0,0.165446,1595252
50000,CLV,True,0,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,False,0.25,True,True,1024*1024*20,16,YCSB,False,0,864992,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.387945,,0.0,0.0,4.6e-05,111.283594,213356.156895,43.259378999999996,11.180899,2.857793,25.473149,66.526475,0.0,0.111062,1483940
50000,CLV,True,0,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,False,0.5,True,True,1024*1024*20,16,YCSB,False,0,1703151,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.773969,,0.0,0.0,4.7e-05,174.828399,141644.081228,101.32299499999999,9.040516,2.3542330000000002,17.712613,130.74143700000002,0.0,0.051066,1547713
50000,CLV,True,0,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,False,0.75,True,True,1024*1024*20,16,YCSB,False,0,315227,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8283959999999999,,0.0,0.0,8.1e-05,144.447304,161512.630272,27.067396000000002,3.183294,3.927377,21.163717000000002,24.346771,0.0,77.912165,1458129
50000,CLV,True,0,True,False,True,WR,0,0,False,100000,2,SPECIFIED,1,16,False,1.0,True,True,1024*1024*20,16,YCSB,False,0,3216067,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.833793,,0.0,0.0,4e-05,331.793179,62269.634505999995,280.479769,16.02735,2.902534,15.029851999999998,248.023836,0.0,1.140036,1291290
50000,CLV,True,0,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,False,0.0,True,True,1024*1024*20,16,YCSB,False,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021185,,0.0,0.0,3.1e-05,48.214864,508541.596826,0.0,2.14597,3.514608,22.708085999999998,0.018017,0.0,12.924714,1532454
50000,CLV,True,0,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,False,0.25,True,True,1024*1024*20,16,YCSB,False,0,573617,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181793,,0.0,0.0,3.6e-05,90.710977,267808.999306,35.358969,4.048196,2.43574,18.626606,44.193525,0.0,3.345828,1518326
50000,CLV,True,0,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,False,0.5,True,True,1024*1024*20,16,YCSB,False,0,1582348,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6240669999999997,,0.0,0.0,4.2e-05,169.922717,147935.581813,104.054501,5.903143,2.18094,13.990604999999999,121.532195,0.0,0.106646,1571101
50000,CLV,True,0,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,False,0.75,True,True,1024*1024*20,16,YCSB,False,0,2172310,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.367126,,0.0,0.0,4.2e-05,218.232302,115564.046777,152.780862,8.119874000000001,2.011772,12.679105,166.76451699999998,0.0,0.3996,1576238
50000,CLV,True,0,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,False,1.0,True,True,1024*1024*20,16,YCSB,False,0,3637566,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.507728,,0.0,0.0,3.5e-05,372.186088,60519.14544199999,322.680931,18.375595,3.209316,16.867051,279.48567,0.0,1.406496,1407774
