ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,NUM_WH,PERC_PAYMENT,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,1,true,true,TPCC,false,, 503, 0,, 4913,0,0,0,0, 4913,, 0.495186,201944, 0, 0.0591082, 0.00106963, 0.018926, 0.106952, 0.0499841, 0.277274, 0.00195942, 0.0163289, 0.0154828, 0, 0, 0, 0, 100000, 503, 0
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,2,true,true,TPCC,false,, 1389, 2,, 9382,0,0,0,0, 9398,, 1.86025,211215, 0.00332622, 0.341026, 0.0577295, 0.0670817, 0.501161, 0.1094, 1.17304, 0.0354782, 0.0359215, 0.138139, 0.0236149, 0.0748496, 0, 0.00345093, 196456, 986, 5983
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,4,true,true,TPCC,false,, 5075, 4,, 11192,0,0,0,0, 11275,, 4.39914,352499, 0.0321388, 1.0623, 0.391182, 0.172261, 1.03666, 0.236169, 2.71083, 0.253107, 0.102752, 0.334436, 0.0626483, 0.180628, 0, 0.0280942, 387673, 1904, 42082
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,8,true,true,TPCC,false,, 21300, 8,, 18335,0,0,0,0, 18653,, 14.7517,426490, 0.25104, 4.60236, 2.5445, 0.496803, 2.96722, 0.528224, 9.37084, 1.35506, 0.332301, 1.19118, 0.189691, 0.595677, 0, 0.297222, 786430, 3953, 225844
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,16,true,true,TPCC,false,, 73446, 16,, 29392,0,0,0,0, 30260,, 48.2729,526416, 1.38384, 19.3477, 13.0517, 1.32139, 7.45719, 0.909907, 30.0439, 5.11071, 0.869192, 4.32472, 0.504241, 1.86233, 0, 4.21524, 1588226, 7978, 1037550
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,16,true,true,TPCC,false,, 110566, 16,, 29700,0,0,0,0, 30784,, 49.0718,517555, 1.7253, 18.2649, 12.0665, 1.29352, 7.48764, 0.992191, 28.9308, 7.97749, 0.869101, 4.22274, 0.506908, 1.81242, 0, 3.17616, 1587333, 7970, 996097
50000,12,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,16,true,true,TPCC,false,, 78201, 16,, 25979,0,0,0,0, 26805,, 42.793,594224, 1.31739, 16.7049, 11.3413, 1.16425, 6.29701, 0.930236, 26.0077, 5.47856, 0.741536, 3.56443, 0.459375, 1.53587, 0, 2.91042, 1589291, 7917, 966646
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,32,true,true,TPCC,false,, 213544, 32,, 67965,0,0,0,0, 70178,, 223.51,454671, 7.05481, 127.987, 110.888, 3.78163, 18.5049, 2.10915, 154.293, 15.5278, 2.2815, 12.5339, 1.3433, 4.8962, 0, 29.5543, 3175734, 15994, 2783779
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,32,true,true,TPCC,false,, 542452, 29,, 50074,0,0,0,0, 54395,, 172.151,586661, 13.6495, 78.5698, 65.0864, 2.74929, 15.4258, 1.99136, 99.8605, 41.143, 1.82439, 9.46043, 1.17949, 3.72288, 0, 9.75183, 3156078, 15925, 2589929
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,1,0.5,,,,true,,,,,32,true,true,TPCC,false,, 244260, 31,, 62782,0,0,0,0, 65031,, 206.634,490609, 7.15656, 115.199, 98.7612, 3.56074, 17.4936, 2.0066, 139.985, 17.9239, 2.22506, 11.9469, 1.32399, 4.6123, 0, 25.2134, 3168011, 16006, 2783641
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,1,true,true,TPCC,false,, 524, 0,, 5306,0,0,0,0, 5306,, 0.53492,186944, 0, 0.063487, 0.00107513, 0.0192046, 0.112642, 0.0626927, 0.294351, 0.00198391, 0.016671, 0.0195064, 0, 0, 0, 0, 100000, 524, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,2,true,true,TPCC,false,, 962, 1,, 8062,0,0,0,0, 8062,, 1.58013,246091, 0, 0.213749, 0.002104, 0.0390101, 0.449469, 0.128583, 0.932773, 0.00386902, 0.0252407, 0.101966, 0.0205038, 0.0588105, 0, 0, 194428, 962, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,4,true,true,TPCC,false,, 2993, 2,, 9412,0,0,0,0, 9432,, 3.59492,421069, 0.00746869, 0.620466, 0.103983, 0.118955, 0.957254, 0.282522, 2.08558, 0.097537, 0.0682389, 0.247839, 0.0448637, 0.130318, 0, 0.00497986, 378427, 1825, 10048
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,8,true,true,TPCC,false,, 11019, 4,, 12479,0,0,0,0, 12574,, 9.46289,631951, 0.0714884, 2.09522, 0.840442, 0.323424, 2.27476, 0.602909, 5.78256, 0.578338, 0.196139, 0.622781, 0.118585, 0.32284, 0, 0.0483322, 747511, 3744, 75225
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,16,true,true,TPCC,false,, 41655, 8,, 18236,0,0,0,0, 18540,, 29.0113,858182, 0.47331, 9.06744, 5.1212, 0.94068, 5.94831, 1.05434, 18.3314, 2.65547, 0.64576, 2.25828, 0.358222, 1.1016, 0, 0.515344, 1556061, 7821, 422142
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,16,true,true,TPCC,false,, 40767, 8,, 17096,0,0,0,0, 17384,, 27.0202,915282, 0.446998, 8.39243, 4.90366, 0.836326, 5.39063, 1.15992, 16.8311, 2.5918, 0.571118, 1.94959, 0.332488, 0.93529, 0, 0.419339, 1545695, 7670, 407091
50000,12,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,16,true,true,TPCC,false,, 43671, 8,, 17412,0,0,0,0, 17731,, 27.1173,897342, 0.48774, 8.15615, 4.73925, 0.829633, 5.42822, 1.15363, 16.6824, 2.81874, 0.56428, 1.8976, 0.329712, 0.941489, 0, 0.425892, 1520842, 7585, 393972
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,32,true,true,TPCC,false,, 184501, 16,, 32038,0,0,0,0, 33213,, 103.95,959281, 3.67404, 42.3351, 30.6146, 2.58397, 13.9076, 2.26912, 64.4219, 13.3328, 1.75341, 7.76341, 1.14201, 3.14103, 0, 5.55012, 3116162, 15793, 1767924
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,32,true,true,TPCC,false,, 206946, 16,, 32790,0,0,0,0, 34154,, 99.085,933075, 3.94831, 38.3146, 27.3091, 2.42858, 13.6477, 2.21279, 59.6843, 15.141, 1.67389, 7.23805, 1.04763, 3.01782, 0, 4.80825, 2889179, 14228, 1589821
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,2,0.5,,,,true,,,,,32,true,true,TPCC,false,, 185754, 16,, 31043,0,0,0,0, 32326,, 102.32,985577, 4.05546, 40.583, 29.425, 2.55324, 13.4733, 2.47558, 62.7348, 13.4204, 1.72955, 7.19886, 1.13313, 2.93015, 0, 4.92499, 3151370, 15713, 1686649
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,1,true,true,TPCC,false,, 514, 0,, 7339,0,0,0,0, 7339,, 0.739622,135204, 0, 0.0630396, 0.00107215, 0.0198793, 0.157981, 0.0921376, 0.404742, 0.00196573, 0.0197265, 0.0155365, 0, 0, 0, 0, 100000, 514, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,2,true,true,TPCC,false,, 1025, 1,, 7921,0,0,0,0, 7921,, 1.58301,250373, 0, 0.218845, 0.00211976, 0.039572, 0.479921, 0.148149, 0.920338, 0.0039117, 0.025579, 0.10454, 0.0204983, 0.0604502, 0, 0, 198171, 1025, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,4,true,true,TPCC,false,, 1978, 1,, 8713,0,0,0,0, 8713,, 3.46067,455391, 0, 0.455658, 0.00425246, 0.0788715, 1.0202, 0.291193, 1.93357, 0.00779916, 0.0500597, 0.22299, 0.0408658, 0.120404, 0, 6.91e-07, 393990, 1978, 1
