ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 303078,0,0,0,0, 303078, 484.926,52791.6, 0, 2.94663, 0, 0.784318, 10.864, 4.27669, 20.202, 0.0366869, 0.321207, 1.42505, 0, 0, 216880264, 450.979, 1600000, 0, 1599999
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 3, 0, 243387,0,0,0,0, 243388, 389.412,65738.5, 0.000765164, 2.96494, 0, 0.899696, 10.9214, 4.2665, 20.371, 0.032939, 0.349261, 1.4392, 0, 0, 194552451, 355.118, 1599962, 0, 1599961
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 11, 0, 168316,0,0,0,0, 168320, 269.283,95057, 0.00579453, 3.26895, 0, 1.27226, 11.3107, 4.36034, 22.1596, 0.0349584, 0.383807, 1.59665, 0, 0, 201762383, 232.906, 1599826, 0, 1599825
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 234, 0, 83931,0,0,0,0, 83948, 134.258,190594, 0.0268074, 3.45972, 0, 1.41406, 11.552, 4.72121, 22.58, 0.0536525, 0.341255, 1.76918, 0, 0, 190391567, 97.2375, 1599295, 0, 1599290
50000,0,true,WOUND_WAIT,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 192897, 0, 26268,0,0,0,0, 28831, 38.4423,554989, 3.4146, 2.56273, 0, 0.399611, 9.10752, 1.25893, 12.2146, 14.8772, 0.255975, 1.37983, 0, 0, 163360670, 0.629642, 1333440, 0, 321329
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 45206,0,0,0,0, 45206, 72.2293,353929, 0, 38.1648, 33.761, 1.32443, 12.1324, 3.48344, 57.2215, 0.0449725, 0.792617, 2.39635, 0.301426, 1.17511, 0, 0.578375, 1597750, 0, 649510
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 0, 0, 41059,0,0,0,0, 41059, 65.3791,389677, 0, 31.8524, 27.5184, 1.22161, 11.7165, 3.17411, 50.3477, 0.0364297, 0.7732, 2.53075, 0.304224, 1.2111, 0, 0.796389, 1592296, 0, 692340
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.5,true,10000000,16,true,YCSB,false,0, 0, 0, 36892,0,0,0,0, 36892, 58.3731,433696, 0, 23.8831, 19.356, 1.07303, 12.0569, 2.85674, 41.9029, 0.0351711, 0.763626, 2.68374, 0.347458, 1.50132, 0, 2.43005, 1582259, 0, 1097929
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,0.75,true,10000000,16,true,YCSB,false,0, 0, 0, 33118,0,0,0,0, 33118, 52.326,483112, 0, 12.6913, 8.00885, 0.968508, 12.9958, 2.69416, 31.4291, 0.0351282, 0.6446, 2.98444, 0.391606, 1.6966, 0, 6.73795, 1579957, 0, 1438380
50000,0,true,BAMBOO,false,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,1,SPECIFIED,1,16,true,WR,1,true,10000000,16,true,YCSB,false,0, 0, 0, 31160,0,0,0,0, 31160, 49.1721,513468, 0, 5.60479, 0.864367, 0.993158, 13.2612, 2.94298, 24.9951, 0.0357552, 0.633118, 3.09418, 0.352111, 1.66562, 0, 9.90473, 1578019, 0, 1397647
