ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,false,WOUND_WAIT,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0,true,10000000,16,true,YCSB,false,0, 197649, 1, 21453,0,0,0,0, 25066, 38.7457,638343, 5.583, 1.6032, 0, 0, 0, 1.3017, 12.2128, 15.2177, 0, 0, 0, 0, 129547548, 0.757778, 1545816, 0, 548647
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0,true,10000000,16,true,YCSB,false,0, 0, 0, 29464,0,0,0,0, 29464, 46.1712,543026, 0, 3.09147, 0.0185993, 0, 0, 3.20911, 20.9964, 0.0351863, 0, 0, 0, 0, 0, 13.3383, 1567009, 0, 1485046
50000,0,false,BAMBOO,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 295811, 8, 27070,0,0,0,0, 34809, 53.0218,459673, 11.7849, 2.691, 0.13238, 0, 0, 1.8987, 15.2259, 22.7968, 0, 0, 0, 0, 0, 0.710743, 1523294, 0, 364472
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0,true,10000000,16,true,YCSB,false,0, 2771, 10, 40421,0,0,0,0, 40500, 64.1294,395060, 0.12527, 25.4674, 20.0467, 0, 0, 2.77413, 44.0737, 0.256017, 0, 0, 0, 0, 0, 4.29494, 1583435, 0, 1478691
50000,0,false,WOUND_WAIT,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0.25,true,10000000,16,true,YCSB,false,0, 3132, 1, 63123,0,0,0,0, 63278, 101.103,252850, 0.247902, 2.51041, 0, 0, 0, 3.69558, 18.4312, 0.286882, 0, 0, 0, 0, 196193803, 69.768, 1597743, 0, 1597681
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0.25,true,10000000,16,true,YCSB,false,0, 0, 0, 67659,0,0,0,0, 67659, 106.897,236479, 0, 2.96824, 0.0177601, 0, 0, 3.66743, 20.5108, 0.0342292, 0, 0, 0, 0, 0, 73.3997, 1579930, 0, 1579924
50000,0,false,BAMBOO,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 696223, 15, 29004,0,0,0,0, 56990, 84.5381,280773, 41.5103, 3.84015, 0.535121, 0, 0, 1.51083, 13.6795, 53.6479, 0, 0, 0, 0, 0, 0.285011, 1483501, 0, 431208
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,true,WR,0.25,true,10000000,16,true,YCSB,false,0, 506031, 16, 31599,0,0,0,0, 50529, 75.756,316676, 28.3763, 5.6608, 1.93757, 0, 0, 1.80958, 16.1464, 39.0491, 0, 0, 0, 0, 0, 0.707941, 1499384, 0, 782939
50000,0,false,WOUND_WAIT,true,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0.5,true,10000000,16,true,YCSB,false,0, 7, 1, 147412,0,0,0,0, 147415, 235.849,108537, 0.00458136, 2.1805, 0, 0, 0, 4.33659, 19.7118, 0.0412902, 0, 0, 0, 0, 193693130, 202.526, 1599897, 0, 1599896
50000,0,true,BAMBOO,true,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,2,SPECIFIED,1,16,false,WR,0.5,true,10000000,16,true,YCSB,false,0, 0, 0, 150875,0,0,0,0, 150875, 240.309,106048, 0, 2.55409, 0.0163403, 0, 0, 4.20674, 20.6029, 0.0320483, 0, 0, 0, 0, 0, 206.306, 1592764, 0, 1592763
