ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,312056,0,39451,0,0,0,0,47201,73.7374,338988.0,12.1042,2.2847,0.0,0,0,2.27452,13.4455,24.0561,0,0,0,0,179150690,21.4541,1562255,0,1206370
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,305070,0,46401,0,0,0,0,54887,86.2438,291515.0,13.3318,2.54656,0.0,0,0,3.0737099999999997,17.7963,23.6141,0,0,0,0,231026176,27.4772,1571335,0,1194991
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,258960,0,39975,0,0,0,0,46359,72.1121,345143.0,9.92825,2.38596,0.0,0,0,2.63958,16.4365,20.0621,0,0,0,0,206303960,20.8148,1555560,0,1037865
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,188998,0,31574,0,0,0,0,35342,54.5904,452738.0,5.81781,2.32681,0.0,0,0,2.4889900000000003,15.1903,14.6447,0,0,0,0,194319935,13.0155,1544697,0,790405
50000,0,True,WOUND_WAIT,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.9,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,88409,0,23739,0,0,0,0,25068,38.3581,638265.0,2.03271,2.3885,0.0,0,0,2.79968,16.5783,6.88306,0,0,0,0,199066262,4.84949,1530166,0,375801
50000,0,True,BAMBOO,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,299519,0,30460,0,0,0,0,36750,56.8612,435391.0,9.72903,6.7359,4.06055,0,0,2.0732,17.748,23.1683,0,0,0,0,0,0.044779,1547303,0,81925
50000,0,True,BAMBOO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,500364,0,33643,0,0,0,0,48204,76.1768,331950.0,23.0049,6.0916,3.15109,0,0,2.38552,19.3233,38.6613,0,0,0,0,0,0.0320263,1580430,0,58719
50000,0,True,BAMBOO,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,247841,0,30485,0,0,0,0,35319,55.1402,453035.0,7.543769999999999,7.00299,4.23037,0,0,2.30396,20.7507,19.1949,0,0,0,0,0,0.0424974,1561276,0,68214
50000,0,True,BAMBOO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,375102,0,27880,0,0,0,0,36856,58.3306,434152.0,14.2028,4.11741,1.5041200000000001,0,0,1.8831799999999999,15.5147,28.9291,0,0,0,0,0,0.0282555,1582769,0,44714
50000,0,True,BAMBOO,False,False,True,True,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,180201,0,28378,0,0,0,0,31555,48.9834,507069.0,4.92965,5.975969999999999,3.11635,0,0,2.53817,21.0823,13.9999,0,0,0,0,0,0.041197500000000005,1552372,0,56119
