BB_ALWAYS_RETIRE_READ,cycle_detect,cascading_abort_times,time_abort,time_get_cs,PF_CS,MAX_TXN_PER_PART,MAX_RUNTIME,deadlock_cnt,user_abort_cnt,BB_PRECOMMIT,max_abort_length,COMPILE_ONLY,txn_cnt_long,time_index,ZIPF_THETA,LATCH,time_semaphore_cs,ABORT_PENALTY,CC_ALG,OUTPUT_TO_FILE,latency,time_cleanup,LONG_TXN_RATIO,TERMINATE_BY_COUNT,BB_AUTORETIRE,txn_cnt,READ_PERC,time_man,SYNTH_TABLE_SIZE,BB_LAST_RETIRE,time_release_cs,WW_STARV_FREE,time_wait,EXEC_ONLY,MAX_ROW_PER_TXN,UNSET_NUMA,time_copy,PF_BASIC,REQ_PER_QUERY,PF_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,NDEBUG,time_get_latch,WORKLOAD,run_time,dl_detect_time,time_release_latch,time_query,wait_cnt,time_retire_latch,BB_DYNAMIC_TS,abort_cnt_long,commit_latency,abort_cnt,time_commit,abort_length,throughput,time_retire_cs,SYNTHETIC_YCSB,time_ts_alloc
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.361864,0,LH_MCSLOCK, 0,50000,BAMBOO,true, 10124, 0.273258,0,true,false, 1000000,0.5, 3.95773,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 10.124,0, 0, 0.0178739, 0, 0,true, 0, 10124, 0, 0.0102181, 0,98774.9, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.368108,0,LH_MCSLOCK, 0,50000,BAMBOO,true, 10002, 0.274392,0,true,false, 1000000,0.5, 3.87539,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 10.0024,0, 0, 0.0177094, 0, 0,true, 0, 10002, 0, 0.010198, 0,99976.4, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.368902,0,LH_MCSLOCK, 0,50000,BAMBOO,true, 9970, 0.265702,0,true,false, 1000000,0.5, 3.95372,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 9.97067,0, 0, 0.0176255, 0, 0,true, 0, 9970, 0, 0.0102242, 0,100294, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.376921,0,LH_MCSLOCK, 0,50000,BAMBOO,true, 10101, 0.269305,0,true,false, 1000000,0.5, 3.91041,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 10.1013,0, 0, 0.0177048, 0, 0,true, 0, 10101, 0, 0.016198, 0,98997.5, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.391182,0,LH_MCSLOCK, 0,50000,BAMBOO,true, 10140, 0.258479,0,true,false, 1000000,0.5, 3.90666,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 10.1402,0, 0, 0.0177116, 0, 0,true, 0, 10140, 0, 0.0102275, 0,98617.9, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.379972,0,LH_MCSLOCK, 0,50000,SILO,true, 11683, 0.626241,0,true,false, 1000000,0.5, 4.7637,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 11.6835,0, 0, 0.0179081, 0, 0,true, 0, 11683, 0, 0, 0,85591.1, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.385408,0,LH_MCSLOCK, 0,50000,SILO,true, 11623, 0.650423,0,true,false, 1000000,0.5, 4.89182,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 11.6237,0, 0, 0.0178805, 0, 0,true, 0, 11623, 0, 0, 0,86031, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.382226,0,LH_MCSLOCK, 0,50000,SILO,true, 11453, 0.654818,0,true,false, 1000000,0.5, 4.67905,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 11.453,0, 0, 0.017884, 0, 0,true, 0, 11453, 0, 0, 0,87313.1, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.380997,0,LH_MCSLOCK, 0,50000,SILO,true, 11570, 0.635656,0,true,false, 1000000,0.5, 4.70233,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 11.5701,0, 0, 0.0179346, 0, 0,true, 0, 11570, 0, 0, 0,86429.8, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.367101,0,LH_MCSLOCK, 0,50000,SILO,true, 11545, 0.628026,0,true,false, 1000000,0.5, 4.75277,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 11.5456,0, 0, 0.0179425, 0, 0,true, 0, 11545, 0, 0, 0,86612.8, 0,false, 0
