ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_CLV,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,MAX_TXN_PER_PART,MERGE_HS,NUM_WH,PERC_PAYMENT,PRIORITIZE_HS,REORDER_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,85020,0,0,7.757074,0.000000,0.000000,2.894368,5.957909,0.798689,5.992591,1.165863,12.991666,0.000000,0.000000,0.000000,0.000067,106.822098,239547.439083,4.844038,20.899361,0.228281,31.013608,0.460521,0.370815,61.489849,1599310
1,CLV,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,8,TPCC,407501,0,0,4.395582,0.000000,0.000000,1.111155,3.550158,0.486882,3.966411,0.792467,1.993623,0.000000,0.000000,0.000000,0.000039,31.284898,203829.718606,10.997297,7.197150,0.110936,8.806415,0.240547,0.189691,7.537871,797099
1,CLV,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,4,TPCC,79765,0,0,0.823627,0.000000,0.000000,0.274284,0.740421,0.115496,0.772537,0.194706,0.193188,0.000000,0.000000,0.000000,0.000011,4.548285,349841.730465,0.804072,1.315974,0.042301,2.143214,0.088404,0.069346,0.291804,397795
1,CLV,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,2,TPCC,1104,0,0,0.102817,0.000000,0.000000,0.049572,0.077344,0.011400,0.062792,0.021622,0.007844,0.000000,0.000000,0.000000,0.000003,0.654483,601326.561617,0.006903,0.132716,0.016420,0.326755,0.028634,0.021119,0.005894,196779
1,CLV,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.008197,0.000000,0.000000,0.015512,0.006710,0.004607,0.003705,0.006570,0.001167,0.000000,0.000000,0.000000,0.000002,0.165134,605567.945341,0.000000,0.025578,0.008079,0.066687,0.006300,0.002749,0.000000,100000
1,WOUND_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,311875,0,0,4.791715,5687474.000000,0.000000,0.000000,0.000000,0.000000,3.712045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,62.387748,406226.430476,1.931754,4.672281,0.358267,10.603118,0.366296,0.269088,47.101788,1583972
1,WOUND_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,8,TPCC,473035,0,0,3.542695,3785528.000000,0.000000,0.000000,0.000000,0.000000,2.153222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,15.416496,409344.893391,2.957558,2.589115,0.157225,4.771032,0.207203,0.152588,6.492829,788833
1,WOUND_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,4,TPCC,57616,0,0,0.467381,1339828.000000,0.000000,0.000000,0.000000,0.000000,0.453351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,2.108117,738099.457839,0.199843,0.564345,0.050493,1.069348,0.066356,0.047089,0.383422,389000
1,WOUND_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,2,TPCC,2821,0,0,0.087009,608066.000000,0.000000,0.000000,0.000000,0.000000,0.046163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.423079,944827.023827,0.007574,0.076958,0.020223,0.203011,0.025952,0.017441,0.008893,199868
1,WOUND_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.007925,300000.000000,0.000000,0.000000,0.000000,0.000000,0.004565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.123941,806834.442833,0.000000,0.016284,0.007344,0.044492,0.006620,0.002716,0.000000,100000
1,WAIT_DIE,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,11420434,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000166,261.222887,96163.396136,162.621232,39.382826,0.160086,55.438335,1.490217,1.017112,40.703280,1570005
1,WAIT_DIE,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,8,TPCC,2083249,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000034,25.891792,238685.991007,13.194751,5.615417,0.087657,8.598504,0.418816,0.297565,2.984864,772501
1,WAIT_DIE,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,4,TPCC,243308,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,2.064847,759409.367822,0.643065,0.507593,0.040359,0.876148,0.086148,0.060082,0.104273,392016
1,WAIT_DIE,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,2,TPCC,10278,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.358391,1110534.671078,0.015965,0.045156,0.017449,0.143686,0.027184,0.018559,0.000838,199003
1,WAIT_DIE,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.115081,868951.722363,0.000000,0.010022,0.008065,0.037010,0.006504,0.002733,0.000000,100000
1,NO_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,16,TPCC,16610244,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000242,370.302832,66237.332996,319.343730,63.615874,0.139037,47.630460,0.602891,0.000000,0.000000,1532992
1,NO_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,8,TPCC,2864619,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000038,27.967839,210979.757842,19.932720,6.896012,0.066098,6.920249,0.126325,0.000000,0.000000,737581
1,NO_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,4,TPCC,299409,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,1.825008,855875.900991,0.682825,0.459974,0.034256,0.765116,0.023062,0.000000,0.000000,390495
1,NO_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,2,TPCC,9488,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.326121,1223924.452485,0.015185,0.042539,0.017284,0.137774,0.006466,0.000000,0.000000,199574
1,NO_WAIT,17,0,true,false,true,false,false,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.106110,942418.742583,0.000000,0.009929,0.007335,0.034041,0.002574,0.000000,0.000000,100000
