ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_CLV,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PRIORITIZE_HS,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,17,0,true,false,true,false,true,100000,1,false,true,8,TPCC,6,0,0,3.475718,0.000000,3.000000,2.077199,1.952828,0.283612,1.253971,0.746977,10.575665,4688620.000000,0.000000,0.000000,0.000032,25.537952,249495.968661,0.000094,13.169580,0.417749,19.754982,0.023420,0.000000,0.171251,796452
1,CLV,17,0,true,false,true,false,true,100000,1,false,true,16,TPCC,9,0,0,9.862950,0.000000,5.000000,5.684023,5.997697,0.768799,5.404774,1.755516,53.163151,20063437.000000,0.000000,0.000000,0.000062,98.245333,259561.480367,0.000329,61.634391,0.924272,79.439235,0.050445,0.000000,4.436475,1593794
1,CLV,17,0,true,false,true,false,true,100000,1,false,true,4,TPCC,2,0,0,1.686190,0.000000,2.000000,0.835647,0.891713,0.131011,0.465742,0.331425,3.190466,844870.000000,0.000000,0.000000,0.000025,9.982745,159399.448275,0.000023,4.251112,0.213726,7.140715,0.011314,0.000000,0.027018,397811
1,CLV,17,0,true,false,true,false,true,100000,1,false,true,2,TPCC,1,0,0,0.762754,0.000000,1.000000,0.245546,0.360837,0.048833,0.180819,0.136376,0.752750,87431.000000,0.000000,0.000000,0.000019,3.820387,104264.311557,0.000014,1.183630,0.114245,2.471391,0.005383,0.000000,0.002253,199165
1,CLV,17,0,true,false,true,false,true,100000,1,false,true,1,TPCC,0,0,0,0.075967,0.000000,0.000000,0.000000,0.000000,0.000000,0.017609,0.026369,0.001154,0.000000,0.000000,0.000000,0.000007,0.658815,151787.658198,0.000000,0.090329,0.029910,0.272105,0.002423,0.000000,0.000000,100000
1,CLV,17,1,true,false,true,false,true,100000,1,false,true,16,TPCC,24,0,0,9.993003,0.000000,12.000000,5.678631,6.122178,0.781440,5.506804,1.789408,53.127426,19977658.000000,0.000000,0.000000,0.000062,98.670738,258424.903367,0.000608,61.769594,0.943177,79.480882,0.050543,0.000000,4.679355,1593686
1,CLV,17,1,true,false,true,false,true,100000,1,false,true,8,TPCC,9,0,0,3.576870,0.000000,7.000000,2.137235,1.986761,0.285075,1.215953,0.735473,10.953935,4690942.000000,0.000000,0.000000,0.000033,26.437846,240738.522481,0.000088,13.510831,0.469611,20.274300,0.024646,0.000000,0.176874,795576
1,CLV,17,1,true,false,true,false,true,100000,1,false,true,4,TPCC,0,0,0,1.684380,0.000000,0.000000,0.841585,0.880152,0.131809,0.458558,0.330474,3.227845,844893.000000,0.000000,0.000000,0.000025,10.053504,157969.600398,0.000000,4.288923,0.258038,7.172648,0.011668,0.000000,0.024976,397037
1,CLV,17,1,true,false,true,false,true,100000,1,false,true,2,TPCC,0,0,0,0.763671,0.000000,0.000000,0.243965,0.357235,0.049794,0.183424,0.138820,0.750084,87904.000000,0.000000,0.000000,0.000019,3.848850,103736.969123,0.000000,1.188557,0.135289,2.477162,0.005570,0.000000,0.002099,199634
1,CLV,17,1,true,false,true,false,true,100000,1,false,true,1,TPCC,0,0,0,0.073524,0.000000,0.000000,0.000000,0.000000,0.000000,0.016795,0.026190,0.001162,0.000000,0.000000,0.000000,0.000006,0.645674,154876.990313,0.000000,0.090654,0.030750,0.267530,0.002404,0.000000,0.000000,100000
1,CLV,17,2,true,false,true,false,true,100000,1,false,true,16,TPCC,18,0,0,10.024256,0.000000,8.000000,5.537595,3.048905,0.439074,5.586586,1.629063,52.711406,19717270.000000,0.000000,0.000000,0.000060,96.262017,264515.212413,0.000436,61.132941,0.749493,78.841622,0.049688,0.000000,5.450450,1591423
1,CLV,17,2,true,false,true,false,true,100000,1,false,true,8,TPCC,1,0,0,3.558611,0.000000,1.000000,2.092822,0.553533,0.119944,1.335120,0.689005,9.921341,4617114.000000,0.000000,0.000000,0.000031,24.337335,261836.395534,0.000064,12.506782,0.354933,19.222110,0.025294,0.000000,0.253461,796550
1,CLV,17,2,true,false,true,false,true,100000,1,false,true,4,TPCC,4,0,0,1.690450,0.000000,2.000000,0.808384,0.189319,0.057145,0.480686,0.297580,2.891772,835972.000000,0.000000,0.000000,0.000023,9.125654,174533.904194,0.000045,3.925798,0.184357,6.789555,0.011703,0.000000,0.032087,398184
1,CLV,17,2,true,false,true,false,true,100000,1,false,true,2,TPCC,0,0,0,0.729902,0.000000,0.000000,0.230868,0.000000,0.000000,0.125888,0.072890,0.002405,143625.000000,0.000000,0.000000,0.000019,3.783268,104992.284566,0.000000,0.318101,0.104620,1.568685,0.005103,0.000000,1.163950,198607
1,CLV,17,2,true,false,true,false,true,100000,1,false,true,1,TPCC,0,0,0,0.073700,0.000000,0.000000,0.000000,0.000000,0.000000,0.017081,0.026444,0.001156,0.000000,0.000000,0.000000,0.000006,0.649591,153943.124752,0.000000,0.090900,0.031107,0.269165,0.002407,0.000000,0.000000,100000
