ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DEBUG_TMP,DELAY_ACQUIRE,DELAY_THRESHOLD,DYNAMIC_TS,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,REORDER_WH,RETIRE_ON,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,1,false,true,false,0,4,true,100000,1,0.5,false,true,true,1,TPCC,0,0,0,0.114434,0.000000,0.000000,0.000000,0.000000,0.000000,0.020819,0.017669,0.001135,0.000000,0.000000,0.000000,0.000005,0.538461,185714.506953,0.000000,0.082801,0.025839,0.278812,0.001009,0.000000,0.000000,100000
50000,CLV,1,false,true,false,0,4,true,100000,2,0.5,false,true,true,1,TPCC,0,0,0,0.117122,0.000000,0.000000,0.000000,0.000000,0.000000,0.020181,0.017081,0.001087,0.000000,0.000000,0.000000,0.000006,0.550129,181775.573293,0.000000,0.078432,0.025765,0.281330,0.000976,0.000000,0.000000,100000
50000,CLV,1,false,true,false,0,4,true,100000,4,0.5,false,true,true,1,TPCC,0,0,0,0.140230,0.000000,0.000000,0.000000,0.000000,0.000000,0.020978,0.017798,0.001130,0.000000,0.000000,0.000000,0.000006,0.626598,159591.845260,0.000000,0.083331,0.030582,0.300483,0.001011,0.000000,0.000000,100000
50000,CLV,1,false,true,false,0,4,true,100000,8,0.5,false,true,true,1,TPCC,0,0,0,0.140160,0.000000,0.000000,0.000000,0.000000,0.000000,0.019911,0.020072,0.001079,0.000000,0.000000,0.000000,0.000007,0.731701,136667.921839,0.000000,0.084037,0.052600,0.343431,0.000973,0.000000,0.000000,100000
50000,CLV,1,false,true,false,0,4,true,100000,16,0.5,false,true,true,1,TPCC,0,0,0,0.122122,0.000000,0.000000,0.000000,0.000000,0.000000,0.022313,0.018821,0.001206,0.000000,0.000000,0.000000,0.000008,0.803938,124387.658217,0.000000,0.089113,0.061542,0.334058,0.001080,0.000000,0.000000,100000
50000,CLV,1,false,true,false,0,4,true,100000,1,0.5,false,true,true,2,TPCC,887,0,0,0.560339,0.000000,0.000000,0.074569,0.175706,0.042486,0.127759,0.093634,0.525107,0.000000,0.000000,0.000000,0.000014,2.854540,139926.566000,0.004754,0.845017,0.087086,1.801550,0.070842,0.000000,0.001867,199713
50000,CLV,1,false,true,false,0,4,true,100000,2,0.5,false,true,true,2,TPCC,0,0,0,0.388352,0.000000,0.000000,0.000018,0.000681,0.000263,0.068750,0.034208,0.002123,0.000000,0.000000,0.000000,0.000007,1.363454,287414.214034,0.000000,0.191097,0.056998,0.740885,0.001846,0.000000,0.000104,195938
50000,CLV,1,false,true,false,0,4,true,100000,4,0.5,false,true,true,2,TPCC,0,0,0,0.410881,0.000000,0.000000,0.000010,0.000480,0.000182,0.067453,0.033874,0.002097,0.000000,0.000000,0.000000,0.000007,1.369302,284400.377067,0.000000,0.192495,0.056605,0.728070,0.001853,0.000000,0.000072,194715
50000,CLV,1,false,true,false,0,4,true,100000,8,0.5,false,true,true,2,TPCC,0,0,0,0.402717,0.000000,0.000000,0.000000,0.000000,0.000000,0.068450,0.033706,0.002083,0.000000,0.000000,0.000000,0.000008,1.444851,266089.801474,0.000000,0.188969,0.067343,0.724601,0.001847,0.000000,0.000000,192230
50000,CLV,1,false,true,false,0,4,true,100000,16,0.5,false,true,true,2,TPCC,0,0,0,0.390040,0.000000,0.000000,0.000003,0.000089,0.000032,0.067213,0.033536,0.002077,0.000000,0.000000,0.000000,0.000009,1.562740,224270.244193,0.000000,0.199411,0.114963,0.786235,0.001851,0.000000,0.000016,175238
50000,CLV,1,false,true,false,0,4,true,100000,1,0.5,false,true,true,4,TPCC,3658,0,0,1.237306,0.000000,0.000000,0.228655,0.467104,0.122779,0.359937,0.271701,2.352788,0.000000,0.000000,0.000000,0.000019,7.739979,206484.276757,0.034709,3.220998,0.211501,5.356657,0.289742,0.000000,0.028203,399546
50000,CLV,1,false,true,false,0,4,true,100000,2,0.5,false,true,true,4,TPCC,1707,0,0,1.007918,0.000000,0.000000,0.114645,0.287741,0.080736,0.211229,0.137601,0.922688,0.000000,0.000000,0.000000,0.000013,4.914195,319087.842339,0.007712,1.455284,0.166492,2.967914,0.138365,0.000000,0.003648,392015
50000,CLV,1,false,true,false,0,4,true,100000,4,0.5,false,true,true,4,TPCC,0,0,0,0.919348,0.000000,0.000000,0.000033,0.002540,0.000764,0.147125,0.068380,0.004193,0.000000,0.000000,0.000000,0.000008,3.011218,516855.312421,0.000000,0.430166,0.120164,1.604962,0.003662,0.000000,0.000209,389091
50000,CLV,1,false,true,false,0,4,true,100000,8,0.5,false,true,true,4,TPCC,0,0,0,0.998309,0.000000,0.000000,0.000013,0.000793,0.000242,0.138473,0.068286,0.004214,0.000000,0.000000,0.000000,0.000008,3.270516,475662.013414,0.000000,0.392691,0.136769,1.660200,0.003735,0.000000,0.000067,388915
50000,CLV,1,false,true,false,0,4,true,100000,16,0.5,false,true,true,4,TPCC,0,0,0,1.070005,0.000000,0.000000,0.000010,0.000413,0.000127,0.146636,0.076229,0.004433,0.000000,0.000000,0.000000,0.000012,4.586138,324044.340046,0.000000,0.460727,0.423824,2.277885,0.004132,0.000000,0.000085,371528
