ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,FIRST_HS,FIXED_HS,FLIP_RATIO,LATCH,LONG_TXN_RATIO,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_HS,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,POS_HS,READ_PERC,REQ_PER_QUERY,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 0, 52178,0,0,0,0, 52178, 0, 0, 0, 159.997,306637, 0, 43.0619, 32.3156, 0, 0, 0, 1.16, 85.9521, 0.0776677, 0, 0, 0, 0, 0, 0, 33.6904, 3066317, 0, 0, 3052871
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 0, 137460,0,0,0,0, 137460, 0, 0, 0, 319.992,232795, 0, 105.928, 95.4402, 0, 0, 0, 0.868571, 141.158, 0.0613803, 0, 0, 0, 0, 0, 0, 145.748, 2327891, 0, 0, 2327251
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 0, 50369,0,0,0,0, 50369, 0, 0, 0, 159.991,317652, 0, 37.8701, 26.8264, 0, 0, 0, 1.19558, 82.0473, 0.0799366, 0, 0, 0, 0, 0, 0, 36.4385, 3176338, 0, 0, 3167289
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.25,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 0, 131204,0,0,0,0, 131204, 0, 0, 0, 319.998,243893, 0, 89.0077, 78.2583, 0, 0, 0, 0.941873, 126.257, 0.0697636, 0, 0, 0, 0, 0, 0, 159.558, 2438917, 0, 0, 2438636
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 0, 48822,0,0,0,0, 48822, 0, 0, 0, 159.992,327720, 0, 32.1855, 20.7987, 0, 0, 0, 1.23422, 77.2941, 0.0808513, 0, 0, 0, 0, 0, 0, 40.2674, 3277035, 0, 0, 3273820
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.5,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 0, 129597,0,0,0,0, 129597, 0, 0, 0, 319.989,246918, 0, 71.4938, 60.4753, 0, 0, 0, 0.927372, 110.115, 0.0688592, 0, 0, 0, 0, 0, 0, 175.272, 2469095, 0, 0, 2469021
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 0, 46303,0,0,0,0, 46303, 0, 0, 0, 159.991,345546, 0, 24.5855, 12.8919, 0, 0, 0, 1.32155, 71.9828, 0.0844413, 0, 0, 0, 0, 0, 0, 43.6029, 3455268, 0, 0, 3448442
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0.75,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 0, 119213,0,0,0,0, 119213, 0, 0, 0, 319.998,268427, 0, 47.9743, 36.6617, 0, 0, 0, 1.04265, 90.7329, 0.0759949, 0, 0, 0, 0, 0, 0, 192.761, 2684252, 0, 0, 2684031
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,16,false,YCSB,false,0, 0, 0, 0, 0, 0, 46811,0,0,0,0, 46811, 0, 0, 0, 159.994,341798, 0, 15.2467, 3.55274, 0, 0, 0, 1.0937, 61.5627, 0.0832288, 0, 0, 0, 0, 0, 0, 54.8649, 3417840, 0, 0, 3407611
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,1,true,100000000,false,32,false,YCSB,false,0, 0, 0, 0, 0, 0, 113880,0,0,0,0, 113880, 0, 0, 0, 319.999,280996, 0, 14.9337, 3.6647, 0, 0, 0, 0.896435, 59.6679, 0.0791984, 0, 0, 0, 0, 0, 0, 222.698, 2809948, 0, 0, 2809868
