ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,FIRST_HS,FIXED_HS,FLIP_RATIO,LATCH,LONG_TXN_RATIO,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_HS,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,POS_HS,READ_PERC,REQ_PER_QUERY,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,YSPECIFIED_RATIO,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 5711,0,0,0,0, 5711, 0, 0, 0, 10,175074, 0, 0.17238, 0.046022, 0, 0, 0, 0.352251, 1.52364, 0.0440634, 0, 0, 0, 0, 0, 0, 0, 1750742, 0, 0, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 25933,0,0,0,0, 25933, 0, 0, 0, 10,38560.6, 0, 0.103312, 0.00950509, 0, 0, 0, 0.21215, 1.49463, 0.00942349, 0, 0, 0, 0, 0, 0, 0, 385607, 0, 0, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,1,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 106859,0,0,0,0, 106859, 0, 0, 0, 10.0001,9358.12, 0, 0.0894074, 0.00230694, 0, 0, 0, 0.176794, 1.49591, 0.00317761, 0, 0, 0, 0, 0, 0, 0, 93582, 0, 0, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 7238,0,0,0,0, 7238, 0, 0, 0, 19.8859,276301, 0, 2.07975, 0.617571, 0, 0, 0, 0.400822, 11.4774, 0.0598071, 0, 0, 0, 0, 0, 0, 0.160186, 2747251, 0, 0, 151762
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 28202,0,0,0,0, 28202, 0, 0, 0, 19.9968,70915.7, 0, 0.759053, 0.149635, 0, 0, 0, 0.306968, 11.1741, 0.0181765, 0, 0, 0, 0, 0, 0, 0.0110451, 709043, 0, 0, 8211
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,2,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 111877,0,0,0,0, 111877, 0, 0, 0, 19.9974,17876.7, 0, 0.428985, 0.0561977, 0, 0, 0, 0.292684, 11.1634, 0.0127752, 0, 0, 0, 0, 0, 0, 0.000240962, 178744, 0, 0, 150
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 9403,0,0,0,0, 9403, 0, 0, 0, 39.9145,425373, 0, 7.30621, 1.04125, 0, 0, 0, 0.574047, 23.2374, 0.0884823, 0, 0, 0, 0, 0, 0, 1.51106, 4244644, 0, 0, 1234187
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,16,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 22859,0,0,0,0, 22859, 0, 0, 0, 39.9551,174980, 0, 2.25535, 0.462732, 0, 0, 0, 0.608805, 21.833, 0.0405316, 0, 0, 0, 0, 0, 0, 0.148347, 1747835, 0, 0, 153078
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,64,WR,0,true,100000000,false,4,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 88254,0,0,0,0, 88254, 0, 0, 0, 39.9872,45323.3, 0, 1.18418, 0.187115, 0, 0, 0, 0.647162, 21.4351, 0.0290923, 0, 0, 0, 0, 0, 0, 0.00230472, 453089, 0, 0, 1931
50000,true,false,true,0,true,false,BAMBOO,false,2.8,WR,0,0,LH_MCSLOCK,0,10,1000000,true,1,true,false,true,false,SPECIFIED,1,4,WR,0,true,100000000,false,8,false,YCSB,false,0,0, 0, 0, 0, 0, 0, 20918,0,0,0,0, 20918, 0, 0, 0, 79.9988,382437, 0, 19.8896, 8.92424, 0, 0, 0, 0.467243, 37.6651, 0.0878413, 0, 0, 0, 0, 0, 0, 24.3529, 3824314, 0, 0, 3814299
