ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,120,true,false,TPCC,false, 299310, 0, 0, 0, 0, 1219871,0,0,0,0, 1222603, 0, 0, 0, 14669.8,98130.7, 35.8412, 14185.7, 14010.8, 0, 0, 0, 5.98438, 14442.8, 21.15, 0, 0, 0, 0, 0, 0, 70.3823, 11996288, 0, 59946, 6312225
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,96,true,false,TPCC,false, 215460, 0, 0, 0, 0, 787055,0,0,0,0, 788275, 0, 0, 0, 7561.42,121752, 13.7204, 7248.4, 7136.84, 0, 0, 0, 4.87541, 7424.6, 14.4882, 0, 0, 0, 0, 0, 0, 35.8616, 9589793, 0, 48497, 4873093
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,64,true,false,TPCC,false, 142513, 0, 0, 0, 0, 365795,0,0,0,0, 366372, 0, 0, 0, 2343.79,174606, 4.75039, 2182.74, 2132.01, 0, 0, 0, 3.48033, 2270.81, 9.08428, 0, 0, 0, 0, 0, 0, 16.5025, 6394400, 0, 32156, 3238388
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,32,true,false,TPCC,false, 81181, 0, 0, 0, 0, 121850,0,0,0,0, 122342, 0, 0, 0, 391.427,261268, 2.01011, 323.427, 306.619, 0, 0, 0, 1.70407, 356.448, 5.2572, 0, 0, 0, 0, 0, 0, 7.82928, 3195854, 0, 16038, 1720579
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,16,true,false,TPCC,false, 47712, 0, 0, 0, 0, 46286,0,0,0,0, 46827, 0, 0, 0, 74.8141,340743, 1.06674, 43.1674, 36.8085, 0, 0, 0, 0.841162, 57.0771, 3.20518, 0, 0, 0, 0, 0, 0, 3.8656, 1593274, 0, 7929, 944077
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,8,true,false,TPCC,false, 15101, 0, 0, 0, 0, 22236,0,0,0,0, 22434, 0, 0, 0, 17.9912,355108, 0.232882, 6.28181, 4.37113, 0, 0, 0, 0.43215, 11.9438, 0.913295, 0, 0, 0, 0, 0, 0, 0.531222, 798600, 0, 3861, 318184
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,4,true,false,TPCC,false, 4048, 0, 0, 0, 0, 15639,0,0,0,0, 15700, 0, 0, 0, 6.25823,253544, 0.0542204, 1.74547, 1.18599, 0, 0, 0, 0.214012, 4.00784, 0.176613, 0, 0, 0, 0, 0, 0, 0.102433, 396685, 0, 1955, 88103
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,2,true,false,TPCC,false, 1114, 0, 0, 0, 0, 12904,0,0,0,0, 12914, 0, 0, 0, 2.59002,153961, 0.017194, 0.515969, 0.347931, 0, 0, 0, 0.152777, 1.58059, 0.0166974, 0, 0, 0, 0, 0, 0, 0.0169395, 199381, 0, 962, 13922
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,1,true,false,TPCC,false, 501, 0, 0, 0, 0, 6492,0,0,0,0, 6492, 0, 0, 0, 0.65364,152989, 0.00439741, 0.0280724, 0.00247737, 0, 0, 0, 0.0512121, 0.214993, 0.00212843, 0, 0, 0, 0, 0, 0, 0, 100000, 0, 501, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,120,true,false,TPCC,false, 291837, 0, 0, 0, 0, 1242163,0,0,0,0, 1244912, 0, 0, 0, 14938,96372.4, 36.053, 14456.1, 14280.2, 0, 0, 0, 5.94842, 14710, 20.4426, 0, 0, 0, 0, 0, 0, 73.3949, 11996736, 0, 60255, 5993152
