ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,PF_MODEL,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,true,32,true,false,TPCC,false, 82556, 0, 0, 306452, 0, 119962,0,0,0,0, 120471, 41487273, 34778080, 0, 385.506,265314, 2.07407, 317.049, 300.482, 0, 0, 0, 1.74333, 350.094, 5.38238, 0, 0, 0, 0, 0, 0, 8.13885, 3196263, 0, 15993, 1751648
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,true,32,true,false,TPCC,false, 23811, 0, 0, 0, 0, 196138,0,0,0,0, 196576, 41331397, 37956000, 0, 631.772,161970, 4.56897, 4.17194, 0, 0, 0, 0, 1.78217, 20.7004, 0.679789, 0, 0, 0, 0, 0, 551867852, 591.918, 3197761, 0, 16145, 3375397
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,2,true,false,true,false,true,true,32,true,false,TPCC,false, 98703, 0, 0, 393830, 0, 44951,0,0,0,0, 45532, 40303239, 34939092, 0, 139.651,700740, 2.18442, 77.8658, 66.0123, 0, 0, 0, 1.78975, 105.016, 6.71581, 0, 0, 0, 0, 0, 0, 6.57482, 3058093, 0, 15303, 1749082
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,2,true,false,true,false,true,true,32,true,false,TPCC,false, 24112, 0, 0, 0, 0, 101453,0,0,0,0, 101683, 41107830, 37777986, 0, 322.358,313134, 2.33226, 3.71048, 0, 0, 0, 0, 1.83796, 18.7156, 0.726999, 0, 0, 0, 0, 0, 543221649, 285.884, 3154408, 0, 15861, 3329844
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,4,true,false,true,false,true,true,32,true,false,TPCC,false, 65047, 0, 0, 340496, 0, 25910,0,0,0,0, 26164, 40209412, 35843808, 0, 80.277,1.21763e+06, 1.13014, 29.3665, 22.2265, 0, 0, 0, 1.88903, 51.798, 4.02323, 0, 0, 0, 0, 0, 0, 1.40246, 3054619, 0, 15424, 1002465
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,4,true,false,true,false,true,true,32,true,false,TPCC,false, 26448, 0, 0, 0, 0, 55732,0,0,0,0, 55856, 41146884, 37837670, 0, 176.739,570042, 1.27087, 3.68571, 0, 0, 0, 0, 1.97697, 18.821, 0.918385, 0, 0, 0, 0, 0, 558230235, 139.318, 3148400, 0, 15784, 3309214
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,true,32,true,false,TPCC,false, 30721, 0, 0, 209178, 0, 20257,0,0,0,0, 20343, 35632955, 32676608, 0, 55.625,1.56499e+06, 0.515969, 15.9711, 12.2054, 0, 0, 0, 2.14693, 34.3168, 1.4396, 0, 0, 0, 0, 0, 0, 0.499294, 2720386, 0, 13551, 534150
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,8,true,false,true,false,true,true,32,true,false,TPCC,false, 37533, 0, 0, 0, 0, 29775,0,0,0,0, 29878, 38360288, 35492506, 0, 88.0192,1.06566e+06, 0.742426, 2.86054, 0, 0, 0, 0, 2.16775, 15.4858, 1.88875, 0, 0, 0, 0, 0, 539045545, 52.0227, 2931211, 0, 14672, 2867782
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,true,32,true,false,TPCC,false, 17636, 0, 0, 161994, 0, 16510,0,0,0,0, 16525, 37632794, 35995159, 0, 47.9257,1.9246e+06, 0.336409, 9.24912, 6.75944, 0, 0, 0, 2.37546, 26.9784, 0.301696, 0, 0, 0, 0, 0, 0, 0.169639, 2882430, 0, 14692, 202908
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,LH_MCSLOCK,10,100000,true,16,true,false,true,false,true,true,32,true,false,TPCC,false, 36014, 0, 0, 0, 0, 19350,0,0,0,0, 19392, 37088528, 35039735, 0, 55.2849,1.64122e+06, 0.418078, 2.47968, 0, 0, 0, 0, 3.64544, 15.0606, 1.799, 0, 0, 0, 0, 0, 550986685, 16.3575, 2835456, 0, 14241, 2048793
