ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_CLV,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,MAX_TXN_PER_PART,MERGE_HS,NUM_WH,PERC_PAYMENT,PRIORITIZE_HS,REORDER_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,16,TPCC,38812,0,0,7.045821,0.000000,15912.000000,2.766325,5.311436,0.785103,5.390422,1.493411,16.672042,3251869.000000,0.000000,0.000000,0.000062,98.237655,260111.256633,1.419274,24.032615,0.187549,33.847497,0.058754,0.000000,54.125561,1597045
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,8,TPCC,131491,0,0,3.305272,0.000000,65566.000000,0.901558,2.447567,0.431121,2.697352,0.708358,2.923628,1116024.000000,0.000000,0.000000,0.000030,23.460262,269917.195890,2.767358,6.638699,0.088147,9.711775,0.033645,0.000000,7.067302,791541
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,4,TPCC,68354,0,0,0.757336,0.000000,41811.000000,0.229660,0.626113,0.117731,0.706276,0.212990,0.235838,250290.000000,0.000000,0.000000,0.000011,4.245214,375247.037955,0.646424,1.317441,0.042408,2.096718,0.013831,0.000000,0.282747,398251
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,2,TPCC,483,0,0,0.096594,0.000000,462.000000,0.019394,0.069906,0.010667,0.059814,0.024270,0.010171,20340.000000,0.000000,0.000000,0.000003,0.614710,645143.523741,0.002404,0.138894,0.024384,0.308086,0.005092,0.000000,0.005318,198288
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.008136,0.000000,0.000000,0.000000,0.000000,0.000000,0.003764,0.006042,0.001162,0.000000,0.000000,0.000000,0.000001,0.133428,749470.236963,0.000000,0.025022,0.008045,0.057930,0.002370,0.000000,0.000000,100000
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,16,TPCC,44889,0,0,7.753364,0.000000,18494.000000,2.953862,5.818892,0.837430,5.965812,1.598443,19.084190,3320433.000000,0.000000,0.000000,0.000066,106.186685,240675.296838,1.697888,27.133674,0.172948,37.701198,0.057804,0.000000,57.211578,1597282
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,8,TPCC,128349,0,0,3.420239,0.000000,64147.000000,0.906495,2.531745,0.436289,2.782642,0.714798,2.967491,1118075.000000,0.000000,0.000000,0.000030,24.207013,262768.477273,2.829911,6.775915,0.091513,9.942514,0.030714,0.000000,7.406824,795105
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,4,TPCC,67260,0,0,0.745731,0.000000,41867.000000,0.233374,0.616904,0.118866,0.686612,0.209306,0.215202,242135.000000,0.000000,0.000000,0.000011,4.214928,376224.691848,0.641208,1.272730,0.043337,2.055842,0.014181,0.000000,0.279914,396440
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,2,TPCC,485,0,0,0.101718,0.000000,468.000000,0.020533,0.072333,0.010437,0.062541,0.023963,0.010040,20757.000000,0.000000,0.000000,0.000003,0.623260,627766.443761,0.002474,0.137264,0.024166,0.312465,0.005037,0.000000,0.005852,195631
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.008107,0.000000,0.000000,0.000000,0.000000,0.000000,0.003783,0.006036,0.001161,0.000000,0.000000,0.000000,0.000001,0.134111,745652.013630,0.000000,0.025004,0.008388,0.057831,0.002378,0.000000,0.000000,100000
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,16,TPCC,47888,0,0,7.994613,0.000000,19361.000000,3.054451,6.028579,0.873191,6.220015,1.688882,20.957090,3383614.000000,0.000000,0.000000,0.000069,110.352443,231655.006403,1.830615,29.358639,0.172364,40.167716,0.055796,0.000000,58.630077,1597731
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,8,TPCC,135351,0,0,3.551164,0.000000,67673.000000,0.923469,2.618884,0.448818,2.901135,0.731501,3.100430,1134172.000000,0.000000,0.000000,0.000031,24.802327,257554.869291,2.983339,7.056099,0.086964,10.273592,0.033983,0.000000,7.442169,798495
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,4,TPCC,66729,0,0,0.750965,0.000000,41690.000000,0.233615,0.616058,0.117720,0.686441,0.209715,0.215521,240203.000000,0.000000,0.000000,0.000011,4.212242,375581.478491,0.636201,1.274953,0.043437,2.065384,0.013887,0.000000,0.276720,395510
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,2,TPCC,360,0,0,0.090661,0.000000,349.000000,0.016536,0.065124,0.009694,0.058594,0.023204,0.010546,19360.000000,0.000000,0.000000,0.000003,0.575437,692065.127833,0.001406,0.129032,0.024592,0.288535,0.004988,0.000000,0.003105,199120
1,CLV,17,0,false,false,true,false,true,100000,false,1,1,false,true,true,1,TPCC,0,0,0,0.008154,0.000000,0.000000,0.000000,0.000000,0.000000,0.003804,0.006002,0.001159,0.000000,0.000000,0.000000,0.000001,0.134287,744676.028098,0.000000,0.025021,0.008196,0.057544,0.002371,0.000000,0.000000,100000
1,CLV,17,0,false,false,true,false,true,100000,false,1,0.5,false,true,true,8,TPCC,725625,0,0,7.186541,0.000000,429049.000000,2.140748,4.243901,0.837191,4.729421,1.418290,2.808053,725878.000000,0.000000,0.000000,0.000046,36.639508,173835.524267,15.590848,10.359670,0.342466,12.034406,0.078714,0.000000,2.138220,796156
1,CLV,17,0,false,false,true,false,true,100000,false,1,0.5,false,true,true,4,TPCC,82809,0,0,1.784020,0.000000,69441.000000,0.391704,0.612716,0.118025,0.503104,0.253631,0.749416,136075.000000,0.000000,0.000000,0.000020,7.674812,203207.596483,1.522269,1.909568,0.183496,3.514970,0.013960,0.000000,0.072650,389895
1,CLV,17,0,false,false,true,false,true,100000,false,1,0.5,false,true,true,2,TPCC,5638,0,0,0.693163,0.000000,5560.000000,0.064190,0.168887,0.033202,0.118123,0.071620,0.089971,16695.000000,0.000000,0.000000,0.000014,2.629019,146079.604856,0.088088,0.422541,0.085557,1.429236,0.005122,0.000000,0.008448,192023
1,CLV,17,0,false,false,true,false,true,100000,false,1,0.5,false,true,true,1,TPCC,0,0,0,0.078399,0.000000,0.000000,0.000000,0.000000,0.000000,0.016856,0.025375,0.001149,0.000000,0.000000,0.000000,0.000007,0.676717,147772.336170,0.000000,0.089569,0.031385,0.311398,0.002442,0.000000,0.000000,100000
1,CLV,17,0,false,false,true,false,true,100000,false,1,0.5,false,true,true,8,TPCC,722017,0,0,6.882956,0.000000,426385.000000,2.049460,4.092578,0.806521,4.553665,1.374278,2.769310,717383.000000,0.000000,0.000000,0.000045,35.482866,177731.527805,15.140050,10.081308,0.338228,11.624827,0.079567,0.000000,2.023755,788303
