ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,1,false,TPCC,false, 0, 3928,0,0,0,0, 3928, 0.392879,254531, 0, 0.0277813, 0.00106898, 0, 0, 0.0405952, 0.141504, 0.00201227, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,1,false,TPCC,false, 0, 4587,0,0,0,0, 4587, 0.458727,217994, 0, 0.0261798, 0.00107496, 0, 0, 0.0468598, 0.168493, 0.00201935, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,1,false,TPCC,false, 0, 4707,0,0,0,0, 4707, 0.470714,212443, 0, 0.028948, 0.0011824, 0, 0, 0.0529924, 0.150693, 0.0022357, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,1,false,TPCC,false, 0, 5579,0,0,0,0, 5579, 0.557922,179237, 0, 0.0299746, 0.00110985, 0, 0, 0.0614842, 0.176894, 0.0020885, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,1,false,TPCC,false, 0, 8904,0,0,0,0, 8904, 0.89043,112305, 0, 0.0348956, 0.00119555, 0, 0, 0.134998, 0.298773, 0.002299, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,2,false,TPCC,false, 5, 7327,0,0,0,0, 7328, 1.44273,272924, 0.000118822, 0.189053, 0.00323649, 0, 0, 0.138834, 0.878292, 0.00421197, 0, 0, 0, 0, 0, 3.224e-06, 196878, 0, 6
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,2,false,TPCC,false, 0, 7028,0,0,0,0, 7028, 1.39212,284572, 0, 0.1456, 0.0020583, 0, 0, 0.145836, 0.771634, 0.00382163, 0, 0, 0, 0, 0, 1.114e-06, 198079, 0, 1
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,2,false,TPCC,false, 0, 7352,0,0,0,0, 7352, 1.41361,272013, 0, 0.15051, 0.00206274, 0, 0, 0.148578, 0.767192, 0.0038438, 0, 0, 0, 0, 0, 0, 192260, 0, 0
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,2,false,TPCC,false, 0, 8229,0,0,0,0, 8229, 1.62712,243023, 0, 0.155186, 0.0021567, 0, 0, 0.179684, 0.84785, 0.00401322, 0, 0, 0, 0, 0, 0, 197714, 0, 0
50000,0,true,BAMBOO,true,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,2,false,TPCC,false, 0, 10034,0,0,0,0, 10034, 1.76326,199305, 0, 0.145393, 0.00195479, 0, 0, 0.226974, 0.970384, 0.0036778, 0, 0, 0, 0, 0, 0, 175713, 0, 0
