ABORT_PENALTY,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,1,0.5,true,8,true,TPCC,false, 20830, 17275,0,0,0,0, 17552, 13.9593,453155, 0.22014, 3.96428, 1.97292, 0.589175, 3.02724, 0.48599, 8.58793, 1.31638, 0.345361, 1.38304, 0.181213, 0.60441, 0, 0.622754, 790716, 4047, 232290
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,2,0.5,true,8,true,TPCC,false, 12539, 11238,0,0,0,0, 11326, 8.75367,701619, 0.0674747, 1.70776, 0.709324, 0.329254, 2.239, 0.465522, 5.19164, 0.684972, 0.208415, 0.55914, 0.117696, 0.236848, 0, 0.0460326, 767717, 3892, 50290
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,4,0.5,true,8,true,TPCC,false, 6136, 9635,0,0,0,0, 9654, 7.41498,822207, 0.014896, 0.969154, 0.22931, 0.241714, 2.28754, 0.492182, 4.23811, 0.188845, 0.132397, 0.392953, 0.0940968, 0.184334, 0, 0.00693357, 762081, 3924, 11802
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,1,0.5,true,16,true,TPCC,false, 62407, 35371,0,0,0,0, 36359, 54.3987,437936, 1.47975, 18.4427, 11.0502, 1.64454, 8.88614, 0.811495, 30.505, 4.29697, 0.758657, 6.12044, 0.418782, 2.17534, 0, 10.6357, 1488947, 7535, 1103394
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,2,0.5,true,16,true,TPCC,false, 46068, 15294,0,0,0,0, 15565, 23.477,1.02205e+06, 0.407605, 6.41729, 3.55529, 0.87153, 4.72599, 0.900905, 13.7759, 3.00433, 0.5487, 1.83272, 0.286652, 0.711957, 0, 0.562212, 1499668, 7621, 301799
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,4,0.5,true,16,true,TPCC,false, 25044, 11855,0,0,0,0, 11946, 18.3074,1.33038e+06, 0.138397, 3.4348, 1.57264, 0.575908, 4.57319, 1.03813, 10.1314, 1.38668, 0.375616, 1.04037, 0.220754, 0.452354, 0, 0.0668081, 1522236, 7580, 81875
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,1,0.5,true,32,true,TPCC,false, 144841, 115167,0,0,0,0, 118763, 369.773,268313, 11.2053, 100.683, 72.8171, 6.98758, 30.999, 2.14656, 142.263, 10.283, 2.2653, 24.4315, 1.40157, 8.55969, 0, 184.318, 3100464, 15564, 3255636
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,2,0.5,true,32,true,TPCC,false, 131196, 41422,0,0,0,0, 42683, 121.675,746283, 3.58919, 41.25, 26.3557, 4.26646, 18.1563, 2.29364, 68.7491, 9.32603, 1.83912, 11.8975, 1.09839, 4.0645, 0, 22.9102, 2837619, 14245, 2175016
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,4,0.5,true,32,true,TPCC,false, 90398, 21900,0,0,0,0, 22282, 68.0486,1.42806e+06, 1.1648, 19.9648, 12.8129, 2.86669, 11.6288, 2.97317, 41.7924, 6.05271, 1.49806, 4.42348, 0.93685, 1.68105, 0, 1.53316, 3036794, 15129, 646425
50000,true,BAMBOO,true,true,true,LH_SPINLOCK,100000,1,0.5,true,8,false,TPCC,false, 11253, 16839,0,0,0,0, 17015, 13.4531,470152, 0.139321, 4.00281, 2.0074, 0.576459, 3.01082, 0.471964, 8.66451, 0.889044, 0.343159, 1.40015, 0.179218, 0.596807, 0, 0.637987, 790627, 0, 231891
