ABORT_PENALTY,CC_ALG,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,WOUND_WAIT,pf,100000,16,true,16,TPCC,33,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,22.465248,1006716.130663,0.000608,1.125054,3.751517,10.550078,0.321914,0.240892,0.001422,1413508
1,WOUND_WAIT,pf,100000,16,true,8,TPCC,7,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,9.504453,606668.064364,0.000151,0.401842,1.692543,4.501990,0.138625,0.104315,0.000200,720756
1,WOUND_WAIT,pf,100000,16,true,4,TPCC,3,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.174372,328540.941670,0.000048,0.176727,0.615856,1.954956,0.064984,0.049927,0.000069,342863
1,WOUND_WAIT,pf,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,2.159073,180238.465455,0.000000,0.091104,0.345865,0.930273,0.028890,0.021209,0.000000,194574
1,WOUND_WAIT,pf,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.888869,112502.491424,0.000000,0.033899,0.195757,0.255821,0.006838,0.003146,0.000000,100000
1,WOUND_WAIT,pf,100000,8,true,16,TPCC,7582,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,26.637461,817974.056761,0.049075,1.247514,2.219955,8.845618,0.292587,0.207818,8.555386,1361797
1,WOUND_WAIT,pf,100000,8,true,8,TPCC,19,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.494898,797913.485722,0.000273,0.380298,0.854742,3.452458,0.119140,0.088714,0.000178,747535
1,WOUND_WAIT,pf,100000,8,true,4,TPCC,4,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,4.153476,354663.869367,0.000061,0.190122,0.498082,2.021885,0.065789,0.049822,0.000048,368272
1,WOUND_WAIT,pf,100000,8,true,2,TPCC,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.861067,198106.781572,0.000016,0.092047,0.214929,0.936052,0.028687,0.020926,0.000000,184345
1,WOUND_WAIT,pf,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.777499,128617.592292,0.000000,0.033815,0.118128,0.225221,0.006840,0.003201,0.000000,100000
1,WOUND_WAIT,pf,100000,4,true,16,TPCC,23546,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,51.854951,480025.442588,0.304335,1.522228,2.058059,10.186386,0.346538,0.261315,31.869857,1555731
1,WOUND_WAIT,pf,100000,4,true,8,TPCC,3323,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,11.830973,482666.626673,0.018053,0.517471,0.923722,4.133389,0.137199,0.101184,3.739034,713802
1,WOUND_WAIT,pf,100000,4,true,4,TPCC,6,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,3.362466,458272.008052,0.000061,0.198712,0.330350,1.607499,0.067694,0.052729,0.000187,385231
1,WOUND_WAIT,pf,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,1.668626,238116.806448,0.000000,0.092303,0.180792,0.816024,0.029119,0.021311,0.000004,198664
1,WOUND_WAIT,pf,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.797018,125467.604588,0.000000,0.036175,0.112648,0.272457,0.007317,0.003387,0.000000,100000
1,WOUND_WAIT,pf,100000,2,true,16,TPCC,20635,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000059,91.276025,272850.269722,0.777704,1.536506,1.650184,10.169203,0.398803,0.319501,72.272578,1556543
1,WOUND_WAIT,pf,100000,2,true,8,TPCC,11175,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,22.224531,277437.931192,0.123803,0.647788,0.873252,4.627203,0.159952,0.122279,13.612343,770741
1,WOUND_WAIT,pf,100000,2,true,4,TPCC,2199,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,5.754699,271816.835179,0.012485,0.306899,0.381766,2.023906,0.086536,0.067895,1.795170,391056
1,WOUND_WAIT,pf,100000,2,true,2,TPCC,4,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.653979,226750.127546,0.000045,0.087636,0.174577,0.881917,0.028396,0.020772,0.000112,187520
1,WOUND_WAIT,pf,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.701834,142483.857947,0.000000,0.034904,0.095079,0.238804,0.007028,0.003156,0.000000,100000
1,WOUND_WAIT,pf,100000,1,true,16,TPCC,18110,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000109,173.888775,147073.599472,1.646917,1.636754,1.514617,10.725098,0.393960,0.315455,154.064591,1598403
1,WOUND_WAIT,pf,100000,1,true,8,TPCC,10471,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000055,43.882725,145567.442039,0.373732,0.739866,0.797603,5.014229,0.200336,0.161631,34.703916,798487
1,WOUND_WAIT,pf,100000,1,true,4,TPCC,5636,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000027,10.789026,147402.741673,0.061716,0.337232,0.422547,2.192879,0.086089,0.067330,6.581793,397583
1,WOUND_WAIT,pf,100000,1,true,2,TPCC,891,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,2.901932,136353.991754,0.005456,0.145629,0.198454,1.077727,0.042289,0.032846,0.900328,197845
1,WOUND_WAIT,pf,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.530197,188609.254880,0.000000,0.032677,0.066728,0.161701,0.006834,0.003199,0.000000,100000
1,WAIT_DIE,pf,100000,16,true,16,TPCC,416,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,18.573940,1110573.630223,0.001439,0.802098,2.846104,9.029096,0.295837,0.231217,0.000359,1289233
1,WAIT_DIE,pf,100000,16,true,8,TPCC,64,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,9.233573,593275.877688,0.000284,0.368519,1.397429,4.453877,0.131927,0.098995,0.000025,684757
1,WAIT_DIE,pf,100000,16,true,4,TPCC,11,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.305128,333285.340024,0.000082,0.174974,0.577857,2.003231,0.065094,0.049574,0.000000,358709
1,WAIT_DIE,pf,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.963201,191310.031889,0.000000,0.084911,0.354687,0.931269,0.030354,0.022879,0.000000,187790
1,WAIT_DIE,pf,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.933101,107169.501165,0.000000,0.045187,0.187630,0.396375,0.007648,0.003541,0.000000,100000
1,WAIT_DIE,pf,100000,8,true,16,TPCC,30683176,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,29.767088,772194.573548,8.866632,2.038717,2.170863,10.232059,1.584310,0.329415,0.623289,1436624
1,WAIT_DIE,pf,100000,8,true,8,TPCC,169,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.655939,771185.879673,0.000665,0.378304,0.792509,3.520498,0.128503,0.096597,0.000105,738019
1,WAIT_DIE,pf,100000,8,true,4,TPCC,28,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,3.385446,436651.458517,0.000117,0.167353,0.357238,1.550257,0.066870,0.052093,0.000007,369565
1,WAIT_DIE,pf,100000,8,true,2,TPCC,8,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.773801,221190.589791,0.000067,0.087023,0.202346,0.813793,0.030251,0.022599,0.000000,196174
1,WAIT_DIE,pf,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.892274,112073.162077,0.000000,0.046412,0.127220,0.396967,0.007940,0.003639,0.000000,100000
1,WAIT_DIE,pf,100000,4,true,16,TPCC,29054889,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000035,48.584553,451644.123838,17.396426,3.353864,1.758937,12.069178,1.572285,0.422027,9.880945,1371433
1,WAIT_DIE,pf,100000,4,true,8,TPCC,14438493,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,13.260628,450048.653425,4.130561,0.914813,0.970504,4.642107,0.756117,0.148864,0.103040,745991
1,WAIT_DIE,pf,100000,4,true,4,TPCC,59,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,3.652674,426664.923286,0.000224,0.195613,0.366060,1.764044,0.062027,0.046302,0.000075,389617
1,WAIT_DIE,pf,100000,4,true,2,TPCC,12,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.707338,233579.956360,0.000090,0.106315,0.174324,0.843205,0.037886,0.030115,0.000000,199400
1,WAIT_DIE,pf,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.890018,112357.273623,0.000000,0.047335,0.111811,0.450766,0.007139,0.003262,0.000000,100000
1,WAIT_DIE,pf,100000,2,true,16,TPCC,20911728,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000064,98.776884,249855.704620,39.453467,6.637684,1.519966,22.791540,1.438345,0.608264,28.831528,1542498
1,WAIT_DIE,pf,100000,2,true,8,TPCC,15771540,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000024,18.184134,330862.939079,6.512793,1.152772,0.705400,4.629410,0.793625,0.167802,3.728728,752057
1,WAIT_DIE,pf,100000,2,true,4,TPCC,6232615,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,4.839094,300487.632403,1.499359,0.340663,0.361110,1.789586,0.290442,0.054992,0.027419,363522
1,WAIT_DIE,pf,100000,2,true,2,TPCC,55,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,1.549775,239679.941169,0.000095,0.082164,0.162378,0.804893,0.027189,0.019939,0.000017,185725
1,WAIT_DIE,pf,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.734128,136216.061121,0.000000,0.042625,0.075910,0.362822,0.007394,0.003469,0.000000,100000
1,WAIT_DIE,pf,100000,1,true,16,TPCC,17382497,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000162,258.516455,98554.345595,114.527845,15.549225,1.402168,49.359189,1.494212,0.838859,87.026509,1592370
1,WAIT_DIE,pf,100000,1,true,8,TPCC,10083579,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000064,50.821666,125131.197961,20.672683,3.617895,0.761495,11.859609,0.713011,0.312153,14.512034,794922
1,WAIT_DIE,pf,100000,1,true,4,TPCC,6538254,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,11.156085,138416.300259,4.025551,0.896462,0.381776,3.119319,0.364549,0.116186,2.166494,386046
1,WAIT_DIE,pf,100000,1,true,2,TPCC,3683178,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,2.967788,133215.729592,0.931055,0.253450,0.184056,1.156682,0.176671,0.043829,0.010742,197678
1,WAIT_DIE,pf,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.612933,163149.932883,0.000000,0.040120,0.066270,0.300717,0.006726,0.002989,0.000000,100000
1,NO_WAIT,pf,100000,16,true,16,TPCC,483,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,18.943335,1167366.128779,0.003888,0.835900,3.309771,9.067113,0.045147,0.000000,0.000000,1382113
1,NO_WAIT,pf,100000,16,true,8,TPCC,67,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,8.672698,671194.129117,0.000259,0.394657,1.595883,4.056490,0.022176,0.000000,0.000000,727633
1,NO_WAIT,pf,100000,16,true,4,TPCC,29,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.259923,333541.218768,0.000110,0.182470,0.752558,2.021455,0.010841,0.000000,0.000000,355215
1,NO_WAIT,pf,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.840823,193993.633596,0.000000,0.081328,0.285679,0.874461,0.004910,0.000000,0.000000,178554
1,NO_WAIT,pf,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.035654,96557.322811,0.000000,0.042916,0.263083,0.414457,0.002506,0.000000,0.000000,100000
1,NO_WAIT,pf,100000,8,true,16,TPCC,27899710,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,24.663639,826400.688663,7.859798,1.595872,1.956878,8.616244,1.147865,0.000000,0.000000,1273878
1,NO_WAIT,pf,100000,8,true,8,TPCC,204,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.494053,790987.762161,0.000772,0.375367,0.852557,3.590012,0.021463,0.000000,0.000000,740963
1,NO_WAIT,pf,100000,8,true,4,TPCC,78,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,4.160435,368546.086018,0.000222,0.187326,0.528745,2.006474,0.011236,0.000000,0.000000,383328
1,NO_WAIT,pf,100000,8,true,2,TPCC,3,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.774396,223151.937048,0.000051,0.087457,0.203541,0.812176,0.005293,0.000000,0.000000,197980
