cycle_detect,cascading_abort_times,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
0, 0, 0.00427406, 0,100000,false, 980,0, 0, 0.126489,0,LH_MCSLOCK,50000,IC3,1, 12050, 0.150132,TPCC, 100000, 0.212019,false, 0.00617163,0,false,true,true,1,true,0, 0, 0, 1.20934,0, 0, 0.0016914, 0, 0, 12050, 980, 0.000680025, 0,true,true,82689.7, 0, 0
0, 0, 0.00243794, 0,100000,false, 503,0.5, 0, 0.0772709,0,LH_MCSLOCK,50000,IC3,1, 8289, 0.0917582,TPCC, 100000, 0.129966,false, 0.00479811,0,false,true,true,1,true,0, 0, 0, 0.83142,0, 0, 0.00169312, 0, 0, 8289, 503, 0.000765182, 0,true,true,120276, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.00431767,0,LH_MCSLOCK,50000,IC3,1, 2836, 0.0279071,TPCC, 100000, 0.0290037,false, 0.00304815,0,false,true,true,1,true,0, 0, 0, 0.283625,0, 0, 0.00166701, 0, 0, 2836, 0, 0.00093958, 0,true,true,352578, 0, 0
0, 0, 0.00462634, 0,100000,false, 1014,0, 0, 0.138688,0,LH_MCSLOCK,50000,IC3,2, 13073, 0.153567,TPCC, 100000, 0.223292,false, 0.00916377,0,false,true,true,1,true,0, 0, 0, 1.31195,0, 0, 0.00170394, 0, 0, 13073, 1014, 0.00068589, 0,true,true,76222.4, 0, 0
0, 0, 0.00268688, 0,100000,false, 524,0.5, 0, 0.0800844,0,LH_MCSLOCK,50000,IC3,2, 9051, 0.0915835,TPCC, 100000, 0.13654,false, 0.00474468,0,false,true,true,1,true,0, 0, 0, 0.90788,0, 0, 0.00168771, 0, 0, 9051, 524, 0.000745764, 0,true,true,110147, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.00481973,0,LH_MCSLOCK,50000,IC3,2, 3105, 0.029037,TPCC, 100000, 0.0308524,false, 0.00307475,0,false,true,true,1,true,0, 0, 0, 0.310503,0, 0, 0.0016713, 0, 0, 3105, 0, 0.000958327, 0,true,true,322058, 0, 0
0, 0, 0.004618, 0,100000,false, 993,0, 0, 0.138319,0,LH_MCSLOCK,50000,IC3,4, 13364, 0.157229,TPCC, 100000, 0.230857,false, 0.00613451,0,false,true,true,1,true,0, 0, 0, 1.34103,0, 0, 0.0016962, 0, 0, 13364, 993, 0.000685323, 0,true,true,74569.8, 0, 0
0, 0, 0.00264922, 0,100000,false, 514,0.5, 0, 0.0827087,0,LH_MCSLOCK,50000,IC3,4, 9336, 0.090929,TPCC, 100000, 0.143085,false, 0.00472326,0,false,true,true,1,true,0, 0, 0, 0.936301,0, 0, 0.00168006, 0, 0, 9336, 514, 0.000747012, 0,true,true,106803, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.00873312,0,LH_MCSLOCK,50000,IC3,4, 3446, 0.0285417,TPCC, 100000, 0.0330911,false, 0.00309178,0,false,true,true,1,true,0, 0, 0, 0.344609,0, 0, 0.00167629, 0, 0, 3446, 0, 0.000739226, 0,true,true,290184, 0, 0
0, 0, 0.00638441, 0,100000,false, 1022,0, 0, 0.194386,0,LH_MCSLOCK,50000,IC3,8, 17615, 0.161381,TPCC, 100000, 0.211889,false, 0.00648614,0,false,true,true,1,true,0, 0, 0, 1.76793,0, 0, 0.00169018, 0, 0, 17615, 1022, 0.000752088, 0,true,true,56563.3, 0, 0
