IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,IC3_FIELD_LOCKING,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_RENDEZVOUS,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
true,0, 0,false, 0.00180332, 0,100000,false, 503,0.5, 0, 0.0187904,0,LH_MCSLOCK,50000,IC3,1, 5227, 0.0465263,TPCC, 100000, 0.13057,false, 0.0030343,true,0,true,true,true,1,true,0, 0, 0, 0.52453,0, 0, 0.00168198, 0, 0, 5227, 503, 0.0007782, 0,true,true,190647, 0, 0
true,0, 0,false, 0.00191002, 0,100000,false, 524,0.5, 0, 0.0192999,0,LH_MCSLOCK,50000,IC3,2, 5380, 0.0473431,TPCC, 100000, 0.129361,false, 0.00307598,true,0,true,true,true,1,true,0, 0, 0, 0.539997,0, 0, 0.00169137, 0, 0, 5380, 524, 0.000750807, 0,true,true,185186, 0, 0
true,0, 0,false, 0.00217755, 0,100000,false, 514,0.5, 0, 0.0225205,0,LH_MCSLOCK,50000,IC3,4, 6250, 0.0477699,TPCC, 100000, 0.130501,false, 0.00325574,true,0,true,true,true,1,true,0, 0, 0, 0.627265,0, 0, 0.00168013, 0, 0, 6250, 514, 0.000765614, 0,true,true,159422, 0, 0
true,0, 0,false, 0.0026085, 0,100000,false, 524,0.5, 0, 0.0606393,0,LH_MCSLOCK,50000,IC3,8, 7850, 0.0507512,TPCC, 100000, 0.206584,false, 0.00320268,true,0,true,true,true,1,true,0, 0, 0, 0.787656,0, 0, 0.00168586, 0, 0, 7850, 524, 0.000752351, 0,true,true,126959, 0, 0
true,0, 0,false, 0.00246965, 0,100000,false, 522,0.5, 0, 0.0685701,0,LH_MCSLOCK,50000,IC3,16, 8550, 0.0507059,TPCC, 100000, 0.204942,false, 0.00339052,true,0,true,true,true,1,true,0, 0, 0, 0.85748,0, 0, 0.0016927, 0, 0, 8550, 522, 0.000757322, 0,true,true,116621, 0, 0
true,0, 0,false, 0.0320362, 0,100000,false, 951,0.5, 0, 0.0341082,0,LH_MCSLOCK,50000,IC3,1, 6927, 0.13336,TPCC, 194045, 0.280643,false, 0.0152564,true,0,true,true,true,2,true,0, 0, 0, 1.34873,0, 0, 0.00543342, 0, 0, 6925, 980, 0.00154592, 0,true,true,287745, 0, 0
true,0, 0,false, 0.00409841, 0,100000,false, 922,0.5, 0, 0.0321667,0,LH_MCSLOCK,50000,IC3,2, 5862, 0.0937217,TPCC, 188780, 0.2242,false, 0.00618608,true,0,true,true,true,2,true,0, 0, 0, 1.11046,0, 0, 0.00319228, 0, 0, 5862, 922, 0.00141266, 0,true,true,340004, 0, 0
true,0, 0,false, 0.00401071, 0,100000,false, 950,0.5, 0, 0.035451,0,LH_MCSLOCK,50000,IC3,4, 6065, 0.0981984,TPCC, 190762, 0.234844,false, 0.00678564,true,0,true,true,true,2,true,0, 0, 0, 1.16099,0, 0, 0.00333839, 0, 0, 6065, 950, 0.00149067, 0,true,true,328619, 0, 0
true,0, 0,false, 0.00411116, 0,100000,false, 957,0.5, 0, 0.0648614,0,LH_MCSLOCK,50000,IC3,8, 6674, 0.0996584,TPCC, 199572, 0.264272,false, 0.00721498,true,0,true,true,true,2,true,0, 0, 0, 1.33617,0, 0, 0.00341521, 0, 0, 6674, 957, 0.0014872, 0,true,true,298721, 0, 0
true,0, 0,false, 0.00479847, 0,100000,false, 962,0.5, 0, 0.152867,0,LH_MCSLOCK,50000,IC3,16, 7650, 0.101716,TPCC, 195071, 0.315084,false, 0.00686661,true,0,true,true,true,2,true,0, 0, 0, 1.4968,0, 0, 0.0034109, 0, 0, 7650, 962, 0.00149921, 0,true,true,260650, 0, 0
