IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_RENDEZVOUS,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
true,0, 0, 0.00244934, 0,100000,false, 503,0.5, 0, 0.0734684,0,LH_MCSLOCK,50000,IC3,1, 8081, 0.0840324,TPCC, 100000, 0.122794,false, 0.00368805,true,0,true,true,true,1,true,0, 0, 0, 0.81057,0, 0, 0.00168953, 0, 0, 8081, 503, 0.000734726, 0,true,true,123370, 0, 0
true,0, 0, 0.00241853, 0,100000,false, 503,0.5, 0, 0.0766318,0,LH_MCSLOCK,50000,IC3,1, 8125, 0.0881248,TPCC, 100000, 0.124111,false, 0.00587563,true,0,false,true,true,1,true,0, 0, 0, 0.814934,0, 0, 0.00168928, 0, 0, 8125, 503, 0.000751535, 0,true,true,122709, 0, 0
true,0, 0, 0.00265943, 0,100000,false, 524,0.5, 0, 0.0851939,0,LH_MCSLOCK,50000,IC3,2, 8896, 0.0858801,TPCC, 100000, 0.131471,false, 0.00363998,true,0,true,true,true,1,true,0, 0, 0, 0.892355,0, 0, 0.00169191, 0, 0, 8896, 524, 0.000733242, 0,true,true,112063, 0, 0
true,0, 0, 0.00267509, 0,100000,false, 524,0.5, 0, 0.0897821,0,LH_MCSLOCK,50000,IC3,2, 9038, 0.0905432,TPCC, 100000, 0.134357,false, 0.00561819,true,0,false,true,true,1,true,0, 0, 0, 0.906502,0, 0, 0.0017356, 0, 0, 9038, 524, 0.000718457, 0,true,true,110314, 0, 0
true,0, 0, 0.00247292, 0,100000,false, 485,0.5, 0, 0.0847357,0,LH_MCSLOCK,50000,IC3,4, 9292, 0.0889033,TPCC, 100000, 0.140346,false, 0.00375614,true,0,true,true,true,1,true,0, 0, 0, 0.931722,0, 0, 0.00169996, 0, 0, 9292, 485, 0.000745648, 0,true,true,107328, 0, 0
true,0, 0, 0.00288625, 0,100000,false, 514,0.5, 0, 0.0929433,0,LH_MCSLOCK,50000,IC3,4, 10864, 0.0989499,TPCC, 100000, 0.1257,false, 0.00581385,true,0,false,true,true,1,true,0, 0, 0, 1.08935,0, 0, 0.00170679, 0, 0, 10864, 514, 0.000739509, 0,true,true,91798.2, 0, 0
true,0, 0, 0.00400443, 0,100000,false, 524,0.5, 0, 0.11764,0,LH_MCSLOCK,50000,IC3,8, 13158, 0.0951653,TPCC, 100000, 0.139262,false, 0.00419731,true,0,true,true,true,1,true,0, 0, 0, 1.31988,0, 0, 0.00178057, 0, 0, 13158, 524, 0.000781108, 0,true,true,75764.5, 0, 0
true,0, 0, 0.00360299, 0,100000,false, 499,0.5, 0, 0.12311,0,LH_MCSLOCK,50000,IC3,8, 12888, 0.0997111,TPCC, 100000, 0.142286,false, 0.00626637,true,0,false,true,true,1,true,0, 0, 0, 1.29243,0, 0, 0.00169885, 0, 0, 12888, 499, 0.000734826, 0,true,true,77373.7, 0, 0
true,0, 0, 0.00382242, 0,100000,false, 522,0.5, 0, 0.135095,0,LH_MCSLOCK,50000,IC3,16, 13965, 0.0897345,TPCC, 100000, 0.13412,false, 0.00401063,true,0,true,true,true,1,true,0, 0, 0, 1.4004,0, 0, 0.00169022, 0, 0, 13965, 522, 0.000734967, 0,true,true,71408, 0, 0
true,0, 0, 0.00322988, 0,100000,false, 479,0.5, 0, 0.138601,0,LH_MCSLOCK,50000,IC3,16, 12679, 0.100681,TPCC, 100000, 0.139446,false, 0.00607968,true,0,false,true,true,1,true,0, 0, 0, 1.27122,0, 0, 0.00178632, 0, 0, 12679, 479, 0.000783186, 0,true,true,78664.4, 0, 0
true,0, 0, 0.0509906, 0,100000,false, 961,0.5, 0, 0.185155,0,LH_MCSLOCK,50000,IC3,1, 10196, 0.222479,TPCC, 194908, 0.299485,false, 0.0187119,true,0,true,true,true,2,true,0, 0, 0, 1.99334,0, 0, 0.00603512, 0, 0, 10193, 990, 0.00157883, 0,true,true,195559, 0, 0
