cycle_detect,cascading_abort_times,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
0, 0, 0, 0,100000,false, 0,1, 0, 0.0200666,0,LH_MCSLOCK,50000,IC3,1, 2886, 0.0242688,TPCC, 100000, 0.0266344,false, 0.00306007,0,false,true,false,1,true,0, 0, 0, 0.288635,0, 0, 0.00202654, 0, 0, 2886, 0, 0.000860716, 0,true,true,346458, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0251402,0,LH_MCSLOCK,50000,IC3,2, 3163, 0.0251859,TPCC, 100000, 0.0285789,false, 0.00307572,0,false,true,false,1,true,0, 0, 0, 0.316399,0, 0, 0.00200563, 0, 0, 3163, 0, 0.000821541, 0,true,true,316056, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0266933,0,LH_MCSLOCK,50000,IC3,4, 3536, 0.0243997,TPCC, 100000, 0.0314203,false, 0.00303656,0,false,true,false,1,true,0, 0, 0, 0.353647,0, 0, 0.00204265, 0, 0, 3536, 0, 0.000831525, 0,true,true,282768, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0359224,0,LH_MCSLOCK,50000,IC3,8, 3999, 0.0249114,TPCC, 100000, 0.0343101,false, 0.00319476,0,false,true,false,1,true,0, 0, 0, 0.399975,0, 0, 0.0019803, 0, 0, 3999, 0, 0.000904475, 0,true,true,250016, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.049993,0,LH_MCSLOCK,50000,IC3,16, 4265, 0.0262586,TPCC, 100000, 0.0354708,false, 0.00344947,0,false,true,false,1,true,0, 0, 0, 0.426522,0, 0, 0.00215769, 0, 0, 4265, 0, 0.000962538, 0,true,true,234454, 0, 0
0, 0, 0.0121803, 0,100000,false, 0,1, 0, 0.0941076,0,LH_MCSLOCK,50000,IC3,1, 4943, 0.161501,TPCC, 199707, 0.0714285,false, 0.102449,0,false,true,false,2,true,0, 0, 0, 0.987248,0, 0, 0.00431717, 0, 0, 4943, 0, 0.0238099, 0,true,true,404573, 0, 0
0, 0, 2.207e-06, 0,100000,false, 0,1, 0, 0.057151,0,LH_MCSLOCK,50000,IC3,2, 3623, 0.0544098,TPCC, 199529, 0.0606935,false, 0.00640066,0,false,true,false,2,true,0, 0, 0, 0.722912,0, 0, 0.0043875, 0, 0, 3623, 0, 0.00174833, 0,true,true,552015, 0, 0
0, 0, 4.983e-06, 0,100000,false, 0,1, 0, 0.0648161,0,LH_MCSLOCK,50000,IC3,4, 4069, 0.0551037,TPCC, 198434, 0.0655496,false, 0.00630307,0,false,true,false,2,true,0, 0, 0, 0.807438,0, 0, 0.00447306, 0, 0, 4069, 0, 0.00165747, 0,true,true,491515, 0, 0
0, 0, 2.556e-06, 0,100000,false, 0,1, 0, 0.0804122,0,LH_MCSLOCK,50000,IC3,8, 4163, 0.0555513,TPCC, 199746, 0.0717945,false, 0.00636455,0,false,true,false,2,true,0, 0, 0, 0.831711,0, 0, 0.00441807, 0, 0, 4163, 0, 0.00174311, 0,true,true,480325, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0914755,0,LH_MCSLOCK,50000,IC3,16, 4133, 0.0569876,TPCC, 190701, 0.0660456,false, 0.00605424,0,false,true,false,2,true,0, 0, 0, 0.788203,0, 0, 0.00467451, 0, 0, 4133, 0, 0.001762, 0,true,true,483888, 0, 0
0, 0, 0.0986899, 0,100000,false, 0,1, 0, 0.241929,0,LH_MCSLOCK,50000,IC3,1, 8721, 0.510532,TPCC, 399702, -0.643233,false, 1.17828,0,false,true,false,4,true,0, 0, 0, 3.48596,0, 0, 0.00950829, 0, 0, 8721, 0, 0.117749, 0,true,true,458642, 0, 0
0, 0, 0.0430249, 0,100000,false, 0,1, 0, 0.234484,0,LH_MCSLOCK,50000,IC3,2, 6093, 0.44902,TPCC, 398160, 0.238342,false, 0.239044,0,false,true,false,4,true,0, 0, 0, 2.42609,0, 0, 0.00989582, 0, 0, 6093, 0, 0.062208, 0,true,true,656464, 0, 0
0, 0, 3.1288e-05, 0,100000,false, 0,1, 0, 0.133493,0,LH_MCSLOCK,50000,IC3,4, 3877, 0.108004,TPCC, 372776, 0.124667,false, 0.0122142,0,false,true,false,4,true,0, 0, 0, 1.44554,0, 0, 0.00811753, 0, 0, 3877, 0, 0.00332839, 0,true,true,1.03152e+06, 0, 0
0, 0, 2.397e-06, 0,100000,false, 0,1, 0, 0.163117,0,LH_MCSLOCK,50000,IC3,8, 4486, 0.132651,TPCC, 386681, 0.157244,false, 0.0126616,0,false,true,false,4,true,0, 0, 0, 1.73475,0, 0, 0.00950085, 0, 0, 4486, 0, 0.00337844, 0,true,true,891614, 0, 0
0, 0, 5.189e-06, 0,100000,false, 0,1, 0, 0.219393,0,LH_MCSLOCK,50000,IC3,16, 4635, 0.133034,TPCC, 373030, 0.152474,false, 0.0125679,0,false,true,false,4,true,0, 0, 0, 1.72929,0, 0, 0.00953184, 0, 0, 4635, 0, 0.00338757, 0,true,true,862852, 0, 0
0, 0, 0.360494, 0,100000,false, 0,1, 0, 0.539608,0,LH_MCSLOCK,50000,IC3,1, 20018, 1.33051,TPCC, 798362, -8.92676,false, 10.3188,0,false,true,false,8,true,0, 0, 0, 15.9823,0, 0, 0.0185332, 0, 0, 20018, 0, 0.379467, 0,true,true,399623, 0, 0
0, 0, 0.129959, 0,100000,false, 0,1, 0, 0.475945,0,LH_MCSLOCK,50000,IC3,2, 9814, 0.91549,TPCC, 791045, -2.08994,false, 3.06435,0,false,true,false,8,true,0, 0, 0, 7.76386,0, 0, 0.0206548, 0, 0, 9814, 0, 0.178939, 0,true,true,815105, 0, 0
0, 0, 0.0389163, 0,100000,false, 0,1, 0, 0.420878,0,LH_MCSLOCK,50000,IC3,4, 6374, 0.707254,TPCC, 715989, 0.334567,false, 0.444119,0,false,true,false,8,true,0, 0, 0, 4.56432,0, 0, 0.0203652, 0, 0, 6374, 0, 0.0902528, 0,true,true,1.25493e+06, 0, 0
0, 0, 0.000105522, 0,100000,false, 0,1, 0, 0.416158,0,LH_MCSLOCK,50000,IC3,8, 5598, 0.414648,TPCC, 760840, 0.481124,false, 0.0260628,0,false,true,false,8,true,0, 0, 0, 4.25933,0, 0, 0.0221549, 0, 0, 5598, 0, 0.00730402, 0,true,true,1.42903e+06, 0, 0
,,,,100000,false,,1,,,0,LH_MCSLOCK,50000,IC3,16,,,TPCC,,,false,,,false,true,false,8,true,,,,,,,,,,,,,,true,true,,,
0, 0, 1.04288, 0,100000,false, 0,1, 0, 1.10946,0,LH_MCSLOCK,50000,IC3,1, 40559, 3.59528,TPCC, 1597145, -47.9146,false, 51.6459,0,false,true,false,16,true,0, 0, 0, 64.78,0, 0, 0.0366399, 0, 0, 40559, 0, 1.35976, 0,true,true,394479, 0, 0
0, 0, 0.333709, 0,100000,false, 0,1, 0, 0.912926,0,LH_MCSLOCK,50000,IC3,2, 19140, 1.85744,TPCC, 1593669, -18.9016,false, 20.8679,0,false,true,false,16,true,0, 0, 0, 30.5042,0, 0, 0.0356288, 0, 0, 19140, 0, 0.509203, 0,true,true,835909, 0, 0
0, 0, 0.320109, 0,100000,false, 0,1, 0, 1.00151,0,LH_MCSLOCK,50000,IC3,4, 10364, 1.88396,TPCC, 1549711, -4.26202,false, 6.26631,0,false,true,false,16,true,0, 0, 0, 16.0617,0, 0, 0.0349841, 0, 0, 10364, 0, 0.399009, 0,true,true,1.54376e+06, 0, 0
0, 0, 0.0526657, 0,100000,false, 0,1, 0, 0.8923,0,LH_MCSLOCK,50000,IC3,8, 7275, 1.19265,TPCC, 1402816, -0.110088,false, 1.4316,0,false,true,false,16,true,0, 0, 0, 10.2067,0, 0, 0.0333556, 0, 0, 7275, 0, 0.190063, 0,true,true,2.19906e+06, 0, 0
0, 0, 0.000157248, 0,100000,false, 0,1, 0, 0.939316,0,LH_MCSLOCK,50000,IC3,16, 5787, 0.604631,TPCC, 1502788, 0.683539,false, 0.0530634,0,false,true,false,16,true,0, 0, 0, 8.69808,0, 0, 0.0353424, 0, 0, 5787, 0, 0.014134, 0,true,true,2.76436e+06, 0, 0
0, 0, 4.67394, 0,100000,false, 0,1, 0, 2.91147,0,LH_MCSLOCK,50000,IC3,1, 89028, 218.337,TPCC, 3195366, 176.831,false, 41.8874,0,false,true,false,32,true,0, 0, 0, 284.479,0, 0, 0.0725736, 0, 0, 89028, 0, 211.14, 0,true,true,359435, 0, 0
0, 0, 2.28946, 0,100000,false, 0,1, 0, 2.52839,0,LH_MCSLOCK,50000,IC3,2, 46711, 8.5192,TPCC, 3188087, -109.87,false, 118.689,0,false,true,false,32,true,0, 0, 0, 148.922,0, 0, 0.07405, 0, 0, 46711, 0, 3.59078, 0,true,true,685050, 0, 0
0, 0, 1.07282, 0,100000,false, 0,1, 0, 2.22016,0,LH_MCSLOCK,50000,IC3,4, 27214, 5.48505,TPCC, 3041409, -50.6827,false, 56.4494,0,false,true,false,32,true,0, 0, 0, 82.7703,0, 0, 0.0705002, 0, 0, 27214, 0, 1.75837, 0,true,true,1.17585e+06, 0, 0
0, 0, 0.86706, 0,100000,false, 0,1, 0, 2.53494,0,LH_MCSLOCK,50000,IC3,8, 15446, 5.00688,TPCC, 3004941, -13.8897,false, 19.2127,0,false,true,false,32,true,0, 0, 0, 46.4147,0, 0, 0.0748676, 0, 0, 15446, 0, 1.46684, 0,true,true,2.07172e+06, 0, 0
0, 0, 0.220059, 0,100000,false, 0,1, 0, 2.31168,0,LH_MCSLOCK,50000,IC3,16, 11312, 3.74834,TPCC, 2657288, -0.614999,false, 4.71472,0,false,true,false,32,true,0, 0, 0, 30.0611,0, 0, 0.0663966, 0, 0, 11312, 0, 0.933533, 0,true,true,2.82868e+06, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0220674,0,LH_MCSLOCK,50000,BAMBOO,1, 1717, 0.00705339,TPCC, 100000, 0.0273947,false, 0,0,false,true,false,1,true,0, 0, 0, 0.171768,0, 0, 0.00211752, 0, 0, 1717, 0, 0.000880395, 0,true,true,582180, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0242621,0,LH_MCSLOCK,50000,BAMBOO,2, 1828, 0.00688356,TPCC, 100000, 0.0304827,false, 0,0,false,true,false,1,true,0, 0, 0, 0.182856,0, 0, 0.00212854, 0, 0, 1828, 0, 0.000891424, 0,true,true,546879, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0261776,0,LH_MCSLOCK,50000,BAMBOO,4, 1901, 0.007126,TPCC, 100000, 0.0313091,false, 0,0,false,true,false,1,true,0, 0, 0, 0.190136,0, 0, 0.00215054, 0, 0, 1901, 0, 0.000877032, 0,true,true,525940, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0358472,0,LH_MCSLOCK,50000,BAMBOO,8, 2527, 0.00740114,TPCC, 100000, 0.068761,false, 0,0,false,true,false,1,true,0, 0, 0, 0.252786,0, 0, 0.00226307, 0, 0, 2527, 0, 0.000935021, 0,true,true,395591, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0492189,0,LH_MCSLOCK,50000,BAMBOO,16, 2524, 0.00760486,TPCC, 100000, 0.0507378,false, 0,0,false,true,false,1,true,0, 0, 0, 0.252471,0, 0, 0.00225979, 0, 0, 2524, 0, 0.0010764, 0,true,true,396085, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.123156,0,LH_MCSLOCK,50000,BAMBOO,1, 5375, 0.254072,TPCC, 200000, 0.505792,false, 0.00524177,0,false,true,false,2,true,0, 0, 0, 1.0751,0, 0, 0.00338237, 7343, 0, 5375, 0, 0.0383459, 0,true,true,372058, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0654497,0,LH_MCSLOCK,50000,BAMBOO,2, 2637, 0.0331958,TPCC, 199793, 0.131583,false, 4.539e-06,0,false,true,false,2,true,0, 0, 0, 0.526985,0, 0, 0.00343907, 4, 0, 2637, 0, 0.00149944, 0,true,true,758249, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0626583,0,LH_MCSLOCK,50000,BAMBOO,4, 2568, 0.033661,TPCC, 195834, 0.117976,false, 9.44e-07,0,false,true,false,2,true,0, 0, 0, 0.502909,0, 0, 0.00333522, 1, 0, 2568, 0, 0.00145387, 0,true,true,778804, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.0755551,0,LH_MCSLOCK,50000,BAMBOO,8, 3017, 0.0327867,TPCC, 192604, 0.175217,false, 0,0,false,true,false,2,true,0, 0, 0, 0.581119,0, 0, 0.00346902, 0, 0, 3017, 0, 0.00162534, 0,true,true,662873, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.097852,0,LH_MCSLOCK,50000,BAMBOO,16, 2935, 0.0319482,TPCC, 195232, 0.128461,false, 0,0,false,true,false,2,true,0, 0, 0, 0.573066,0, 0, 0.00338377, 0, 0, 2935, 0, 0.00180015, 0,true,true,681360, 0, 0
0, 0, 3.6803e-05, 0,100000,false, 0,1, 0, 0.259696,0,LH_MCSLOCK,50000,BAMBOO,1, 8060, 0.86987,TPCC, 399941, 1.63657,false, 0.132565,0,false,true,false,4,true,0, 0, 0, 3.2238,0, 0, 0.00864404, 161602, 0, 8060, 6, 0.254685, 0,true,true,496236, 0, 0
0, 0, 3.3259e-05, 0,100000,false, 0,1, 0, 0.198709,0,LH_MCSLOCK,50000,BAMBOO,2, 5200, 0.372029,TPCC, 346673, 0.804391,false, 0.0143501,0,false,true,false,4,true,0, 0, 0, 1.80277,0, 0, 0.00788571, 24147, 0, 5200, 7, 0.0740201, 0,true,true,769201, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.142301,0,LH_MCSLOCK,50000,BAMBOO,4, 2858, 0.0733762,TPCC, 382916, 0.259875,false, 8.419e-06,0,false,true,false,4,true,0, 0, 0, 1.0946,0, 0, 0.00688477, 10, 0, 2858, 0, 0.00308501, 0,true,true,1.39929e+06, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.183198,0,LH_MCSLOCK,50000,BAMBOO,8, 3457, 0.0768354,TPCC, 388340, 0.392313,false, 3.792e-06,0,false,true,false,4,true,0, 0, 0, 1.3425,0, 0, 0.00764583, 4, 0, 3457, 0, 0.00343647, 0,true,true,1.15707e+06, 0, 0
0, 0, 0, 0,100000,false, 0,1, 0, 0.217475,0,LH_MCSLOCK,50000,BAMBOO,16, 3038, 0.0669224,TPCC, 383741, 0.269329,false, 2.443e-06,0,false,true,false,4,true,0, 0, 0, 1.16603,0, 0, 0.00697105, 3, 0, 3038, 0, 0.00337499, 0,true,true,1.31641e+06, 0, 0
0, 0, 0.000232456, 0,100000,false, 0,1, 0, 0.536136,0,LH_MCSLOCK,50000,BAMBOO,1, 15613, 6.57905,TPCC, 799131, 8.45686,false, 0.715672,0,false,true,false,8,true,0, 0, 0, 12.4769,0, 0, 0.021466, 598897, 0, 15612, 21, 4.98829, 0,true,true,512389, 0, 0
0, 0, 0.000357995, 0,100000,false, 0,1, 0, 0.411123,0,LH_MCSLOCK,50000,BAMBOO,2, 6540, 1.0325,TPCC, 737506, 2.16975,false, 0.15851,0,false,true,false,8,true,0, 0, 0, 4.82363,0, 0, 0.0327193, 284644, 0, 6539, 70, 0.36368, 0,true,true,1.22316e+06, 0, 0
0, 0, 8.1105e-05, 0,100000,false, 0,1, 0, 0.387627,0,LH_MCSLOCK,50000,BAMBOO,4, 5857, 0.698432,TPCC, 642614, 1.64635,false, 0.0284863,0,false,true,false,8,true,0, 0, 0, 3.76442,0, 0, 0.0234643, 49121, 0, 5857, 16, 0.125497, 0,true,true,1.36566e+06, 0, 0
