IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,IC3_FIELD_LOCKING,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_RENDEZVOUS,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
true,0, 0,false, 0.00176597, 0,100000,false, 503,0.5, 0, 0.0167618,0,LH_MCSLOCK,50000,IC3,1, 5184, 0.0489312,TPCC, 100000, 0.118797,false, 0.00553166,true,0,false,true,true,1,true,0, 0, 0, 0.520199,0, 0, 0.00168914, 0, 0, 5184, 503, 0.000698279, 0,true,true,192234, 0, 0
true,0, 0,false, 0.0018673, 0,100000,false, 524,0.5, 0, 0.0165921,0,LH_MCSLOCK,50000,IC3,2, 5295, 0.0496183,TPCC, 100000, 0.126483,false, 0.00544658,true,0,false,true,true,1,true,0, 0, 0, 0.531407,0, 0, 0.00170902, 0, 0, 5295, 524, 0.000740639, 0,true,true,188180, 0, 0
true,0, 0,false, 0.0017419, 0,100000,false, 485,0.5, 0, 0.0195329,0,LH_MCSLOCK,50000,IC3,4, 5635, 0.0502997,TPCC, 100000, 0.1403,false, 0.00568579,true,0,false,true,true,1,true,0, 0, 0, 0.565308,0, 0, 0.00171121, 0, 0, 5635, 485, 0.000739927, 0,true,true,176895, 0, 0
true,0, 0,false, 0.00252516, 0,100000,false, 524,0.5, 0, 0.041531,0,LH_MCSLOCK,50000,IC3,8, 7472, 0.0550651,TPCC, 100000, 0.210693,false, 0.00561072,true,0,false,true,true,1,true,0, 0, 0, 0.749821,0, 0, 0.00168272, 0, 0, 7472, 524, 0.000745407, 0,true,true,133365, 0, 0
true,0, 0,false, 0.00244749, 0,100000,false, 522,0.5, 0, 0.0818394,0,LH_MCSLOCK,50000,IC3,16, 8563, 0.0524386,TPCC, 100000, 0.207998,false, 0.00573038,true,0,false,true,true,1,true,0, 0, 0, 0.858802,0, 0, 0.00168543, 0, 0, 8563, 522, 0.000679458, 0,true,true,116441, 0, 0
true,0, 0,false, 0.0468612, 0,100000,false, 999,0.5, 0, 0.0435161,0,LH_MCSLOCK,50000,IC3,1, 10078, 0.206049,TPCC, 198433, -0.0102571,false, 0.408912,true,0,false,true,true,2,true,0, 0, 0, 2.00578,0, 0, 0.0267795, 0, 0, 10070, 1292, 0.0136669, 0,true,true,197861, 0, 0
true,0, 0,false, 0.00488754, 0,100000,false, 957,0.5, 0, 0.0328581,0,LH_MCSLOCK,50000,IC3,2, 6410, 0.0976217,TPCC, 192085, 0.236582,false, 0.0126458,true,0,false,true,true,2,true,0, 0, 0, 1.23555,0, 0, 0.00323276, 0, 0, 6410, 957, 0.00143304, 0,true,true,310929, 0, 0
true,0, 0,false, 0.00425548, 0,100000,false, 987,0.5, 0, 0.0333912,0,LH_MCSLOCK,50000,IC3,4, 6317, 0.10132,TPCC, 189724, 0.198953,false, 0.0124678,true,0,false,true,true,2,true,0, 0, 0, 1.20285,0, 0, 0.00334271, 0, 0, 6317, 987, 0.00147256, 0,true,true,315458, 0, 0
true,0, 0,false, 0.00425619, 0,100000,false, 973,0.5, 0, 0.0477995,0,LH_MCSLOCK,50000,IC3,8, 6622, 0.103479,TPCC, 196389, 0.25154,false, 0.0135852,true,0,false,true,true,2,true,0, 0, 0, 1.30484,0, 0, 0.00343643, 0, 0, 6622, 973, 0.00151883, 0,true,true,301015, 0, 0
true,0, 0,false, 0.00438677, 0,100000,false, 937,0.5, 0, 0.15626,0,LH_MCSLOCK,50000,IC3,16, 7962, 0.101562,TPCC, 187915, 0.362821,false, 0.0125581,true,0,false,true,true,2,true,0, 0, 0, 1.50062,0, 0, 0.00327451, 0, 0, 7962, 937, 0.00143303, 0,true,true,250450, 0, 0
