ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,1,true,true,TPCC,false, 503, 0, 4514,0,0,0,0, 4514, 0.454596,219976, 0, 0.0557621, 0, 0, 0, 0.0264104, 0.15977, 0.00208366, 0, 0, 0, 0, 0, 0, 100000, 503, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,2,true,true,TPCC,false, 11289, 0, 7646,0,0,0,0, 8922, 1.76243,223269, 0.251133, 0.131283, 0, 0, 0, 0.0592156, 0.314506, 0.793352, 0, 0, 0, 0, 0, 0, 196748, 1031, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,4,true,true,TPCC,false, 56686, 0, 12167,0,0,0,0, 15815, 6.2308,252423, 1.43373, 0.299405, 0, 0, 0, 0.179654, 0.523801, 4.22192, 0, 0, 0, 0, 0, 0, 393200, 1997, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,8,true,true,TPCC,false, 264070, 0, 23102,0,0,0,0, 33299, 25.9975,239938, 7.94779, 0.717081, 0, 0, 0, 0.231504, 1.29531, 20.0942, 0, 0, 0, 0, 0, 0, 779724, 3911, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 786662, 0, 28688,0,0,0,0, 47961, 70.9771,333378, 28.4936, 1.54319, 0, 0, 0, 0.435182, 2.07183, 60.2593, 0, 0, 0, 0, 0, 0, 1478889, 7568, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 2801182, 0, 37243,0,0,0,0, 81612, 240.264,391964, 130.539, 4.14644, 0, 0, 0, 0.914103, 4.24354, 210.478, 0, 0, 0, 0, 0, 0, 2942971, 14581, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,1,true,true,TPCC,false, 524, 0, 4742,0,0,0,0, 4742, 0.4777,209336, 0, 0.0569359, 0, 0, 0, 0.0322802, 0.167566, 0.00211695, 0, 0, 0, 0, 0, 0, 100000, 524, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,2,true,true,TPCC,false, 912, 0, 5292,0,0,0,0, 5293, 0.975851,375237, 0.000130814, 0.100492, 0, 0, 0, 0.0540373, 0.323954, 0.00474808, 0, 0, 0, 0, 0, 0, 183088, 901, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,4,true,true,TPCC,false, 25763, 0, 9348,0,0,0,0, 10792, 4.16706,369174, 0.555107, 0.257176, 0, 0, 0, 0.188265, 0.615977, 1.83863, 0, 0, 0, 0, 0, 0, 384593, 1971, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,8,true,true,TPCC,false, 126206, 0, 14325,0,0,0,0, 18540, 14.1255,430577, 3.20377, 0.59934, 0, 0, 0, 0.351776, 1.26004, 9.43158, 0, 0, 0, 0, 0, 0, 760266, 3962, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 500020, 0, 23380,0,0,0,0, 33392, 49.0019,478539, 14.6682, 1.35303, 0, 0, 0, 0.581324, 2.37329, 37.9956, 0, 0, 0, 0, 0, 0, 1465583, 7440, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 1844278, 0, 32084,0,0,0,0, 57336, 167.813,557697, 73.8268, 3.55485, 0, 0, 0, 1.03642, 4.79178, 138.088, 0, 0, 0, 0, 0, 0, 2924647, 14610, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,1,true,true,TPCC,false, 514, 0, 5656,0,0,0,0, 5656, 0.569635,175551, 0, 0.0601582, 0, 0, 0, 0.0348914, 0.17935, 0.00221513, 0, 0, 0, 0, 0, 0, 100000, 514, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,2,true,true,TPCC,false, 915, 0, 5588,0,0,0,0, 5588, 1.09563,355588, 3.8974e-05, 0.113421, 0, 0, 0, 0.0651661, 0.351239, 0.00448393, 0, 0, 0, 0, 0, 0, 194797, 912, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,4,true,true,TPCC,false, 1915, 0, 6060,0,0,0,0, 6061, 2.40476,655361, 0.000307832, 0.219261, 0, 0, 0, 0.213326, 0.691032, 0.0103462, 0, 0, 0, 0, 0, 0, 393997, 1889, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,8,true,true,TPCC,false, 55649, 0, 10163,0,0,0,0, 11730, 9.16484,679409, 1.21907, 0.530426, 0, 0, 0, 0.392209, 1.4225, 4.00033, 0, 0, 0, 0, 0, 0, 778335, 3819, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,true,TPCC,false, 269109, 0, 16296,0,0,0,0, 21053, 30.9496,758288, 6.97442, 1.20032, 0, 0, 0, 0.654808, 2.65398, 20.2349, 0, 0, 0, 0, 0, 0, 1466796, 7454, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,32,true,true,TPCC,false, 1151563, 0, 24274,0,0,0,0, 37093, 114.386,861631, 39.4653, 3.28134, 0, 0, 0, 1.34342, 5.71413, 86.84, 0, 0, 0, 0, 0, 0, 3079960, 15773, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,1,true,true,TPCC,false, 499, 0, 6820,0,0,0,0, 6820, 0.686765,145610, 0, 0.0652085, 0, 0, 0, 0.0594892, 0.222137, 0.00222283, 0, 0, 0, 0, 0, 0, 100000, 499, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,2,true,true,TPCC,false, 1013, 0, 5818,0,0,0,0, 5818, 1.13882,341272, 3.0988e-05, 0.111668, 0, 0, 0, 0.101122, 0.323128, 0.00436696, 0, 0, 0, 0, 0, 0, 194323, 1011, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,4,true,true,TPCC,false, 1974, 0, 6436,0,0,0,0, 6437, 2.45786,616744, 0.000199943, 0.211544, 0, 0, 0, 0.24323, 0.648719, 0.00922441, 0, 0, 0, 0, 0, 0, 378967, 1959, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,8,true,true,TPCC,false, 3815, 0, 6744,0,0,0,0, 6745, 5.16956,1.17785e+06, 0.000618284, 0.437462, 0, 0, 0, 0.518753, 1.50233, 0.0205943, 0, 0, 0, 0, 0, 0, 761123, 3764, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,true,TPCC,false, 115084, 0, 10953,0,0,0,0, 12624, 19.2038,1.26223e+06, 2.53078, 1.02807, 0, 0, 0, 0.950263, 2.8531, 8.30094, 0, 0, 0, 0, 0, 0, 1514978, 7750, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,32,true,true,TPCC,false, 551644, 0, 18023,0,0,0,0, 24686, 67.6775,1.29328e+06, 18.2167, 2.67402, 0, 0, 0, 1.75079, 6.38378, 42.0851, 0, 0, 0, 0, 0, 0, 2735182, 13717, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,1,true,true,TPCC,false, 477, 0, 7531,0,0,0,0, 7531, 0.758517,131836, 0, 0.0622284, 0, 0, 0, 0.0858992, 0.226888, 0.00221321, 0, 0, 0, 0, 0, 0, 100000, 477, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,2,true,true,TPCC,false, 985, 0, 7018,0,0,0,0, 7018, 1.41185,282925, 0, 0.11748, 0, 0, 0, 0.1282, 0.3671, 0.00437817, 0, 0, 0, 0, 0, 0, 199724, 985, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,4,true,true,TPCC,false, 1910, 0, 7349,0,0,0,0, 7350, 2.80407,540226, 9.1996e-05, 0.223949, 0, 0, 0, 0.357143, 0.702886, 0.00887547, 0, 0, 0, 0, 0, 0, 378708, 1905, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,8,true,true,TPCC,false, 3564, 0, 6965,0,0,0,0, 6965, 5.01952,1.14037e+06, 0.000279495, 0.428529, 0, 0, 0, 0.63573, 1.35975, 0.0174792, 0, 0, 0, 0, 0, 0, 715513, 3544, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,true,TPCC,false, 7019, 0, 8894,0,0,0,0, 8895, 12.3656,1.78608e+06, 0.00171093, 0.929571, 0, 0, 0, 1.6843, 4.16055, 0.0426986, 0, 0, 0, 0, 0, 0, 1380374, 6912, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,32,true,true,TPCC,false, 246335, 0, 14567,0,0,0,0, 17719, 47.5371,1.79845e+06, 8.41449, 2.42811, 0, 0, 0, 3.18718, 8.71056, 18.271, 0, 0, 0, 0, 0, 0, 2671655, 13676, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,1,true,true,TPCC,false, 503, 0, 4981,0,0,0,0, 4981, 0.501976,199213, 0, 0.0586737, 0, 0, 0, 0.0601551, 0.269007, 0.00195204, 0, 0, 0, 0, 2177694, 0, 100000, 503, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,2,true,true,TPCC,false, 1439, 0, 8452,0,0,0,0, 8460, 1.70078,235028, 0.00174845, 0.177666, 0, 0, 0, 0.143018, 0.68167, 0.0392008, 0, 0, 0, 0, 12966305, 0.480568, 199865, 995, 149602
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,4,true,true,TPCC,false, 6983, 0, 20031,0,0,0,0, 20167, 8.0812,197249, 0.0542747, 0.488438, 0, 0, 0, 0.325106, 1.90508, 0.393828, 0, 0, 0, 0, 41905539, 4.44807, 398503, 2026, 385812
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,8,true,true,TPCC,false, 14260, 0, 44567,0,0,0,0, 44986, 36.1129,176914, 0.337524, 1.14379, 0, 0, 0, 0.656075, 4.784, 0.811448, 0, 0, 0, 0, 93759686, 27.3839, 798609, 4032, 839705
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 24838, 0, 89616,0,0,0,0, 90442, 145.255,176023, 1.33053, 2.41694, 0, 0, 0, 1.22945, 10.2034, 1.34683, 0, 0, 0, 0, 187176930, 126.294, 1598009, 7936, 1688757
