ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,16,0,true,100000,1,true,16,TPCC,203692,0,0,11.747091,0.021715,2.783258,5.907741,5.730376,0.934179,6.943620,2.484220,53.938976,0.021670,0.000000,0.000000,0.000070,110.928031,230151.818689,7.761999,65.110820,1.106780,81.262898,0.059025,0.000000,8.039444,1595643
1,CLV,8,0,true,100000,1,true,16,TPCC,237994,0,0,12.425835,0.022010,2.150024,6.142969,6.639337,1.169662,6.983753,2.291282,31.789228,0.021762,0.000000,0.000000,0.000085,135.251104,188853.586144,12.075626,42.700161,1.023069,59.274519,0.060752,0.000000,48.823800,1596416
1,CLV,8,1,true,100000,1,true,16,TPCC,219255,0,0,11.817935,0.021930,2.063559,5.970629,4.646500,0.786187,6.672324,2.251856,29.240761,0.003803,0.000000,0.000000,0.000079,126.569817,201737.954832,10.555877,39.685951,1.461711,56.147498,0.057667,0.000000,47.515780,1595871
1,CLV,16,0,true,100000,1,true,16,TPCC,197214,0,0,11.772056,0.021707,2.796919,5.900618,5.803407,0.934596,7.108893,2.490356,54.523746,0.021663,0.000000,0.000000,0.000070,111.875000,228262.614403,7.632581,65.880278,1.040983,81.931897,0.065402,0.000000,8.434789,1596055
1,CLV,16,1,true,100000,1,true,16,TPCC,184168,0,0,12.157170,0.021653,2.842395,6.059922,4.328722,0.610752,7.266449,2.522790,57.265314,0.004153,0.000000,0.000000,0.000071,113.970502,224120.448148,7.368597,68.782257,1.511197,85.454410,0.057464,0.000000,9.587864,1596445
1,CLV,8,0,true,100000,1,true,16,TPCC,236224,0,0,12.411100,0.021940,2.127098,6.095301,6.623802,1.166723,7.032831,2.289429,31.798584,0.021693,0.000000,0.000000,0.000085,135.032492,188809.075587,12.048760,42.739007,1.036379,59.268034,0.059211,0.000000,48.782459,1593460
1,CLV,8,1,true,100000,1,true,16,TPCC,215412,0,0,12.700224,0.021944,2.128620,6.187965,5.037063,0.827656,7.187362,2.304243,30.183076,0.003807,0.000000,0.000000,0.000083,132.517551,192797.405507,11.268019,41.224702,1.543454,58.654059,0.056282,0.000000,49.919923,1596815
1,CLV,12,0,true,100000,1,true,16,TPCC,274774,0,0,13.858111,0.022167,2.365274,6.263536,7.800943,1.220472,8.314649,2.427970,37.365927,0.021977,0.000000,0.000000,0.000085,136.321116,187395.648302,13.527148,49.808291,1.039598,66.616662,0.059896,0.000000,40.381244,1596624
1,CLV,12,1,true,100000,1,true,16,TPCC,253322,0,0,13.287209,0.022109,2.294782,6.192587,5.703484,0.850645,7.857263,2.381783,36.388830,0.003987,0.000000,0.000000,0.000083,131.803735,193836.934229,12.184375,48.222599,1.617891,65.399469,0.058756,0.000000,41.027430,1596777
1,CLV,16,0,true,100000,1,true,16,TPCC,194865,0,0,12.353793,0.021690,2.846064,6.017300,6.100838,0.931214,7.453319,2.521541,55.948494,0.021647,0.000000,0.000000,0.000072,115.228232,221552.509605,8.004915,67.719809,1.006346,84.170570,0.057692,0.000000,8.959258,1595569
1,CLV,16,1,true,100000,1,true,16,TPCC,188362,0,0,11.884832,0.021661,2.801174,6.009722,4.179661,0.600018,7.057660,2.482107,55.570401,0.004179,0.000000,0.000000,0.000070,111.118881,229811.098020,7.291133,66.806435,1.506766,83.320009,0.054656,0.000000,8.980250,1596022
