ABORT_PENALTY,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,1,0.5,true,1,true,TPCC,false, 503, 3990,0,0,0,0, 3990, 0.402143,248668, 0, 0.025542, 0.00107284, 0, 0, 0.045198, 0.142082, 0.00208291, 0, 0, 0, 0, 0, 0, 100000, 503, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,2,0.5,true,1,true,TPCC,false, 468, 4231,0,0,0,0, 4231, 0.426018,234732, 0, 0.0261349, 0.00107019, 0, 0, 0.045938, 0.155441, 0.00214239, 0, 0, 0, 0, 0, 0, 100000, 468, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,4,0.5,true,1,true,TPCC,false, 485, 4604,0,0,0,0, 4604, 0.463554,215724, 0, 0.0282329, 0.00114821, 0, 0, 0.0507682, 0.152362, 0.0021841, 0, 0, 0, 0, 0, 0, 100000, 485, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,8,0.5,true,1,true,TPCC,false, 524, 5893,0,0,0,0, 5893, 0.593665,168445, 0, 0.0317462, 0.0010939, 0, 0, 0.0755025, 0.199896, 0.00207962, 0, 0, 0, 0, 0, 0, 100000, 524, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,16,0.5,true,1,true,TPCC,false, 522, 6341,0,0,0,0, 6341, 0.639064,156479, 0, 0.0261188, 0.0010787, 0, 0, 0.0908935, 0.177463, 0.00210155, 0, 0, 0, 0, 0, 0, 100000, 522, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,32,0.5,true,1,true,TPCC,false, 540, 9533,0,0,0,0, 9533, 0.961273,104029, 0, 0.0299229, 0.00106711, 0, 0, 0.148476, 0.259575, 0.00218166, 0, 0, 0, 0, 0, 0, 100000, 540, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,1,0.5,true,2,true,TPCC,false, 1441, 8659,0,0,0,0, 8674, 1.7323,228859, 0.00290612, 0.270384, 0.0538355, 0, 0, 0.138665, 1.04576, 0.0360865, 0, 0, 0, 0, 0, 0.00358371, 198226, 1034, 5562
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,2,0.5,true,2,true,TPCC,false, 980, 6809,0,0,0,0, 6809, 1.35864,291434, 0, 0.137106, 0.00213472, 0, 0, 0.134157, 0.784052, 0.00388429, 0, 0, 0, 0, 0, 0, 197977, 980, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,4,0.5,true,2,true,TPCC,false, 901, 7364,0,0,0,0, 7364, 1.46471,269592, 0, 0.140707, 0.0020916, 0, 0, 0.152907, 0.786439, 0.00387411, 0, 0, 0, 0, 0, 5.02e-07, 197437, 901, 1
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,8,0.5,true,2,true,TPCC,false, 904, 7494,0,0,0,0, 7494, 1.46455,264935, 0, 0.139356, 0.00207363, 0, 0, 0.148086, 0.727489, 0.00385859, 0, 0, 0, 0, 0, 0, 194005, 904, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,16,0.5,true,2,true,TPCC,false, 935, 9247,0,0,0,0, 9247, 1.7099,214550, 0, 0.142838, 0.00209846, 0, 0, 0.18058, 0.824711, 0.00392034, 0, 0, 0, 0, 0, 0, 183430, 935, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,32,0.5,true,2,true,TPCC,false, 975, 13142,0,0,0,0, 13142, 2.60671,151024, 0, 0.158707, 0.00223733, 0, 0, 0.494516, 1.1163, 0.0042431, 0, 0, 0, 0, 0, 0, 196838, 975, 0
50000,false,BAMBOO,false,true,true,LH_MCSLOCK,100000,1,0.5,true,4,true,TPCC,false, 5227, 10222,0,0,0,0, 10293, 4.02751,386129, 0.027508, 0.861519, 0.322942, 0, 0, 0.278753, 2.37844, 0.266961, 0, 0, 0, 0, 0, 0.0336894, 388785, 1863, 46313
