ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 299236, 0, 29980,0,0,0,0, 35774, 55.5552,447418, 8.98019, 5.91052, 3.05754, 0, 0, 1.94781, 16.9087, 23.1317, 0, 0, 0, 0, 0, 0.364031, 1553523, 0, 115298
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 487199, 0, 33681,0,0,0,0, 47523, 74.5168,336834, 21.6799, 5.93639, 2.99042, 0, 0, 2.30241, 19.4616, 37.6638, 0, 0, 0, 0, 0, 0.260777, 1568735, 0, 74625
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 245051, 0, 30335,0,0,0,0, 34903, 54.3897,458580, 7.10092, 6.07709, 3.01856, 0, 0, 2.25471, 20.3275, 18.9864, 0, 0, 0, 0, 0, 0.290318, 1558875, 0, 100216
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 368428, 0, 28271,0,0,0,0, 37175, 58.0787,430578, 13.8913, 4.47322, 1.82151, 0, 0, 2.0678, 15.6727, 28.4913, 0, 0, 0, 0, 0, 0.1544, 1562962, 0, 59131
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 176284, 0, 27974,0,0,0,0, 31033, 47.8182,515753, 4.6983, 5.53789, 2.58861, 0, 0, 2.52209, 20.502, 13.6742, 0, 0, 0, 0, 0, 0.226062, 1541398, 0, 75484
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 267733, 0, 24392,0,0,0,0, 29781, 46.4607,537495, 8.38913, 3.35092, 0.774881, 0, 0, 1.71333, 14.3687, 20.743, 0, 0, 0, 0, 0, 0.0489445, 1560777, 0, 45515
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 102670, 0, 23939,0,0,0,0, 25363, 39.1158,630991, 2.18667, 4.54276, 1.71152, 0, 0, 2.62449, 19.558, 7.99489, 0, 0, 0, 0, 0, 0.155534, 1542605, 0, 51612
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 175721, 0, 22150,0,0,0,0, 25002, 38.9698,640186, 4.43219, 3.41759, 0.729476, 0, 0, 1.77523, 15.1099, 13.6408, 0, 0, 0, 0, 0, 0.101455, 1559244, 0, 34024
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 24457, 0, 17888,0,0,0,0, 18146, 27.976,881812, 0.394839, 3.54632, 0.622802, 0, 0, 2.22827, 17.1887, 1.94527, 0, 0, 0, 0, 0, 0.0326045, 1541845, 0, 26198
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 66930, 0, 19876,0,0,0,0, 20681, 31.4186,773847, 1.21434, 3.26528, 0.444679, 0, 0, 2.30633, 16.9608, 5.22325, 0, 0, 0, 0, 0, 0.0164998, 1519575, 0, 14040
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 307351, 0, 33157,0,0,0,0, 39664, 61.5411,403545, 10.0747, 6.9061, 3.97143, 0, 0, 2.35843, 20.6939, 23.7773, 0, 0, 0, 0, 0, 0.388085, 1552163, 0, 112237
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 494492, 0, 34121,0,0,0,0, 48513, 75.986,329972, 22.5144, 5.83317, 2.60842, 0, 0, 2.36869, 19.5905, 38.2416, 0, 0, 0, 0, 0, 0.260476, 1567080, 0, 85384
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 236661, 0, 28412,0,0,0,0, 32640, 50.3297,490373, 6.5033, 5.68626, 2.85853, 0, 0, 2.14137, 17.8291, 18.3286, 0, 0, 0, 0, 0, 0.30138, 1542520, 0, 95113
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 397963, 0, 33028,0,0,0,0, 43715, 68.2787,366185, 16.6664, 5.97302, 2.81634, 0, 0, 2.7837, 20.4319, 30.8324, 0, 0, 0, 0, 0, 0.278833, 1562666, 0, 68348
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 170904, 0, 25860,0,0,0,0, 28549, 43.9259,560663, 4.12079, 5.07589, 2.26447, 0, 0, 2.51556, 17.5568, 13.2735, 0, 0, 0, 0, 0, 0.191987, 1539227, 0, 74945
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 275730, 0, 25098,0,0,0,0, 30683, 48.1342,521664, 8.74601, 3.48816, 0.996532, 0, 0, 1.86872, 14.8424, 21.3509, 0, 0, 0, 0, 0, 0.112232, 1569368, 0, 41812
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 98107, 0, 20524,0,0,0,0, 21750, 32.6563,735836, 1.83078, 3.84792, 1.13768, 0, 0, 1.83186, 15.4153, 7.6417, 0, 0, 0, 0, 0, 0.0721359, 1501856, 0, 57090
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 179704, 0, 23169,0,0,0,0, 26190, 40.8719,611153, 4.70013, 3.49743, 0.777572, 0, 0, 2.06504, 16.0519, 13.9454, 0, 0, 0, 0, 0, 0.087143, 1561188, 0, 33082
