ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 487583, 0, 0, 32785,0,0,0,0, 46467, 0, 73.0011,344521, 21.4661, 6.402, 3.43842, 0, 0, 2.27316, 18.2428, 37.8057, 0, 0, 0, 0, 0, 0.0316702, 1571900, 0, 64124
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 505831, 0, 0, 35344,0,0,0,0, 50694, 0, 79.5564,315788, 24.0597, 6.57704, 3.31678, 0, 0, 2.65165, 20.2351, 39.237, 0, 0, 0, 0, 0, 0.61567, 1570186, 0, 99705
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 394252, 0, 0, 30977,0,0,0,0, 41123, 0, 64.5127,389296, 15.8888, 5.4775, 2.48337, 0, 0, 2.47894, 18.1525, 30.6389, 0, 0, 0, 0, 0, 0.0313014, 1569659, 0, 54123
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.3,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 412590, 0, 0, 33922,0,0,0,0, 45083, 0, 70.6073,355104, 17.4487, 6.19102, 2.86684, 0, 0, 2.44861, 20.9725, 32.0541, 0, 0, 0, 0, 0, 0.56398, 1567059, 0, 82209
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 292606, 0, 0, 28420,0,0,0,0, 34988, 0, 54.7785,457508, 10.2614, 4.59116, 1.74962, 0, 0, 2.39042, 18.1655, 22.7166, 0, 0, 0, 0, 0, 0.0290966, 1566350, 0, 39624
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 289147, 0, 0, 28577,0,0,0,0, 35057, 0, 54.5149,456622, 10.0544, 4.68305, 1.85265, 0, 0, 2.44047, 17.9803, 22.4664, 0, 0, 0, 0, 0, 0.257658, 1555794, 0, 53377
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 188738, 0, 0, 27037,0,0,0,0, 30839, 0, 47.6772,519063, 5.85797, 4.5817, 1.48671, 0, 0, 2.52581, 20.1102, 14.7235, 0, 0, 0, 0, 0, 0.0247598, 1546718, 0, 29741
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.7,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 188669, 0, 0, 25756,0,0,0,0, 29274, 0, 45.7715,546822, 5.4809, 3.94043, 0.769765, 0, 0, 2.21662, 19.16, 14.6772, 0, 0, 0, 0, 0, 0.072463, 1564302, 0, 41180
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 69217, 0, 0, 22096,0,0,0,0, 22982, 0, 35.4267,696364, 1.35705, 3.48634, 0.609453, 0, 0, 2.85236, 19.6899, 5.42321, 0, 0, 0, 0, 0, 0.010819, 1541867, 0, 11196
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 68715, 0, 0, 18201,0,0,0,0, 18948, 0, 29.5894,844612, 1.15985, 3.05166, 0.472732, 0, 0, 1.80036, 15.7763, 5.36563, 0, 0, 0, 0, 0, 0.0302548, 1561975, 0, 13746
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9, 523296, 0, 0, 35536,0,0,0,0, 51283, 0, 81.3321,312176, 24.9407, 7.16752, 3.68232, 0, 0, 2.46528, 21.1628, 40.5667, 0, 0, 0, 0, 0, 0.0655684, 1586870, 0, 78481
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.1,16,true,WR,0,false,10000000,16,true,YCSB,false,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
