ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 73, 0, 18190,0,0,0,0, 18191, 27.7853,879533, 0.000820439, 1.11687, 0, 0, 0, 2.38055, 15.7227, 0.0410759, 0, 0, 0, 0, 208441075, 0.000958387, 1527378, 0, 154
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 2987, 0, 21150,0,0,0,0, 21179, 31.9283,755435, 0.0438833, 1.29276, 0, 0, 0, 4.30269, 18.7495, 0.272561, 0, 0, 0, 0, 197451182, 0.0604608, 1507486, 0, 6906
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 88742, 0, 23087,0,0,0,0, 24359, 37.4752,656849, 1.95607, 2.24201, 0, 0, 0, 2.78166, 15.6086, 6.90363, 0, 0, 0, 0, 180428026, 5.11339, 1538471, 0, 372962
50000,0,true,WOUND_WAIT,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 428120, 0, 37101,0,0,0,0, 47271, 73.593,338492, 15.8287, 4.47044, 0, 0, 0, 1.84953, 13.1413, 33.1101, 0, 0, 0, 0, 195487209, 15.9029, 1556916, 0, 1617495
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 21359,0,0,0,0, 21359, 33.3776,749089, 0, 1.66981, 0.0217722, 0, 0, 3.16796, 20.3958, 0.0398926, 0, 0, 0, 0, 0, 2.023e-05, 1562677, 0, 13
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 36, 0, 24700,0,0,0,0, 24700, 37.6732,647763, 0.000565445, 1.82209, 0.0269077, 0, 0, 4.54874, 23.0369, 0.04507, 0, 0, 0, 0, 0, 7.547e-06, 1525204, 0, 5
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 21032,0,0,0,0, 21032, 32.5181,760727, 0, 1.65858, 0.0209034, 0, 0, 2.9771, 19.8209, 0.0379962, 0, 0, 0, 0, 0, 3.241e-05, 1546088, 0, 11
50000,4,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 36, 0, 17492,0,0,0,0, 17493, 26.7696,914646, 0.000736793, 1.49965, 0.0198154, 0, 0, 2.04275, 15.7616, 0.0387457, 0, 0, 0, 0, 0, 8.646e-06, 1530295, 0, 7
50000,8,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 18888,0,0,0,0, 18888, 28.4955,847088, 0, 1.47935, 0.0196239, 0, 0, 2.49444, 16.7915, 0.0349429, 0, 0, 0, 0, 0, 1.3518e-05, 1508636, 0, 4
50000,8,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 34, 0, 19823,0,0,0,0, 19823, 30.659,807124, 0.000501106, 1.58214, 0.0199174, 0, 0, 2.3917, 18.8765, 0.0395937, 0, 0, 0, 0, 0, 1.499e-06, 1546604, 0, 2
50000,12,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 18491,0,0,0,0, 18491, 28.2074,865267, 0, 1.52946, 0.0197679, 0, 0, 2.78052, 16.0451, 0.0359606, 0, 0, 0, 0, 0, 9.112e-06, 1525432, 0, 10
50000,12,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 47, 0, 21509,0,0,0,0, 21510, 33.1105,743836, 0.000698929, 1.69922, 0.020931, 0, 0, 2.85193, 20.2966, 0.0430819, 0, 0, 0, 0, 0, 1.131e-06, 1539298, 0, 2
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 17, 0, 17795,0,0,0,0, 17795, 27.1793,899114, 0.000218504, 1.58248, 0.0339354, 0, 0, 2.35297, 16.0779, 0.0394755, 0, 0, 0, 0, 0, 0.000192179, 1527332, 0, 219
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 1539, 0, 18745,0,0,0,0, 18759, 28.323,852895, 0.0212864, 1.67952, 0.0542057, 0, 0, 2.68969, 17.1188, 0.159096, 0, 0, 0, 0, 0, 0.000123346, 1509782, 0, 121
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 24, 0, 18999,0,0,0,0, 19005, 27.9997,841846, 0.00909313, 1.60019, 0.0318394, 0, 0, 2.50893, 17.1726, 0.0385554, 0, 0, 0, 0, 0, 0.000299705, 1473213, 0, 250
50000,4,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 1569, 0, 20281,0,0,0,0, 20296, 30.9993,788296, 0.0235421, 1.73214, 0.0271015, 0, 0, 2.88797, 19.2233, 0.163618, 0, 0, 0, 0, 0, 0.00011104, 1527289, 0, 117
50000,8,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 23, 0, 16810,0,0,0,0, 16811, 25.4778,951756, 0.000460128, 1.75842, 0.27112, 0, 0, 2.34401, 15.1836, 0.0374629, 0, 0, 0, 0, 0, 0.000180227, 1515539, 0, 226
50000,8,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 1614, 0, 19103,0,0,0,0, 19118, 29.665,836890, 0.0231571, 1.72049, 0.041763, 0, 0, 2.77576, 17.7231, 0.166283, 0, 0, 0, 0, 0, 0.000122715, 1551646, 0, 130
50000,12,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 28, 0, 20141,0,0,0,0, 20141, 31.5967,794379, 0.000491357, 1.77235, 0.0548496, 0, 0, 2.99668, 19.664, 0.0426627, 0, 0, 0, 0, 0, 0.000226991, 1568733, 0, 236
