ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,LATCH,LONG_TXN_RATIO,MAX_ROW_PER_TXN,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,READ_PERC,REQ_PER_QUERY,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,TERMINATE_BY_COUNT,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,120,false,YCSB,false,0.9, 48966696, 0, 0, 0, 170452,0,0,0,0, 197100, 0, 23587.8,609121, 3179.17, 15144.6, 14539.2, 0, 0, 0, 112.012, 16397.1, 3878.72, 0, 0, 0, 0, 0, 0, 712.644, 119731851, 0, 0, 52964702
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,96,false,YCSB,false,0.9, 40783782, 0, 0, 0, 113555,0,0,0,0, 140384, 0, 13429,684272, 2559.46, 6737.54, 6301.92, 0, 0, 0, 86.9695, 7619.16, 3210.69, 0, 0, 0, 0, 0, 0, 576.364, 95719392, 0, 0, 42448115
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,64,false,YCSB,false,0.9, 21482363, 0, 0, 0, 60034,0,0,0,0, 77233, 0, 4908.49,829320, 1089.98, 1365.85, 1145.68, 0, 0, 0, 39.7793, 1948.95, 1685.19, 0, 0, 0, 0, 0, 0, 227.65, 63604799, 0, 0, 22747205
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,32,false,YCSB,false,0.9, 4967755, 0, 0, 0, 31852,0,0,0,0, 36689, 0, 1158.82,872903, 151.936, 127.558, 71.6858, 0, 0, 0, 13.9893, 410.794, 390.066, 0, 0, 0, 0, 0, 0, 8.49703, 31610433, 0, 0, 3723846
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,16,false,YCSB,false,0.9, 1070517, 0, 0, 0, 23991,0,0,0,0, 25381, 0, 403.562,630686, 21.9217, 33.5603, 16.0739, 0, 0, 0, 6.36975, 170.159, 84.4245, 0, 0, 0, 0, 0, 0, 0.605644, 15907540, 0, 0, 506201
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,8,false,YCSB,false,0.9, 201413, 0, 0, 0, 20282,0,0,0,0, 20694, 0, 164.665,386672, 3.23927, 10.6577, 4.40172, 0, 0, 0, 3.54362, 78.7691, 16.0357, 0, 0, 0, 0, 0, 0, 0.0785887, 7958900, 0, 0, 74092
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,4,false,YCSB,false,0.9, 26530, 0, 0, 0, 18114,0,0,0,0, 18211, 0, 72.3014,219660, 0.377359, 3.54175, 1.12915, 0, 0, 0, 1.69235, 36.7283, 2.17768, 0, 0, 0, 0, 0, 0, 0.0114575, 3970435, 0, 0, 10575
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,2,false,YCSB,false,0.9, 1440, 0, 0, 0, 22436,0,0,0,0, 22450, 0, 44.8863,89085.9, 0.0269714, 1.38915, 0.2978, 0, 0, 0, 0.961103, 24.629, 0.155565, 0, 0, 0, 0, 0, 0, 0.00139877, 1999371, 0, 0, 1308
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,1,false,YCSB,false,0.9, 0, 0, 0, 0, 18417,0,0,0,0, 18417, 0, 18.4174,54296.4, 0, 0.340525, 0.025443, 0, 0, 0, 0.531718, 7.4882, 0.0210212, 0, 0, 0, 0, 0, 0, 0, 1000000, 0, 0, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,LH_MCSLOCK,0,1000,15,1000000,true,true,false,true,false,0.5,16,false,100000000,false,120,false,YCSB,false,0.9, 49069844, 0, 0, 0, 171882,0,0,0,0, 198686, 0, 23782.7,604247, 3198.85, 15297.9, 14687.6, 0, 0, 0, 112.983, 16559.4, 3886.04, 0, 0, 0, 0, 0, 0, 718.684, 119755268, 0, 0, 53153093
