BB_ALWAYS_RETIRE_READ,cycle_detect,cascading_abort_times,time_abort,time_get_cs,PF_CS,MAX_TXN_PER_PART,MAX_RUNTIME,deadlock_cnt,user_abort_cnt,BB_PRECOMMIT,max_abort_length,COMPILE_ONLY,txn_cnt_long,time_index,ZIPF_THETA,LATCH,time_semaphore_cs,ABORT_PENALTY,CC_ALG,OUTPUT_TO_FILE,latency,time_cleanup,LONG_TXN_RATIO,TERMINATE_BY_COUNT,BB_AUTORETIRE,txn_cnt,READ_PERC,time_man,SYNTH_TABLE_SIZE,BB_LAST_RETIRE,time_release_cs,WW_STARV_FREE,time_wait,EXEC_ONLY,MAX_ROW_PER_TXN,UNSET_NUMA,time_copy,PF_BASIC,REQ_PER_QUERY,PF_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,NDEBUG,time_get_latch,WORKLOAD,run_time,dl_detect_time,time_release_latch,time_query,wait_cnt,time_retire_latch,BB_DYNAMIC_TS,abort_cnt_long,commit_latency,abort_cnt,time_commit,abort_length,throughput,time_retire_cs,SYNTHETIC_YCSB,time_ts_alloc
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.310668,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 8686, 0.260814,0,true,false, 1000000,0.5, 3.52929,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.68616,0, 0, 0.0174769, 0, 0,true, 0, 8686, 0, 0.0102788, 0,115126, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.311133,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 8648, 0.26302,0,true,false, 1000000,0.5, 3.56004,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.64842,0, 0, 0.0174745, 0, 0,true, 0, 8648, 0, 0.0102803, 0,115628, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.31057,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 8587, 0.263207,0,true,false, 1000000,0.5, 3.54569,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.58726,0, 0, 0.0174994, 0, 0,true, 0, 8587, 0, 0.0102765, 0,116452, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.309086,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 8658, 0.261776,0,true,false, 1000000,0.5, 3.58042,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.65898,0, 0, 0.017602, 0, 0,true, 0, 8658, 0, 0.0103127, 0,115487, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.311709,0.9,LH_MCSLOCK, 0,50000,BAMBOO,true, 8534, 0.261811,0,true,false, 1000000,0.5, 3.46429,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.53475,0, 0, 0.0174895, 0, 0,true, 0, 8534, 0, 0.0102668, 0,117168, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.576208,0.9,LH_MCSLOCK, 0,50000,SILO,true, 9940, 0.594708,0,true,false, 1000000,0.5, 3.95791,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 9.94044,0, 0, 0.0178509, 0, 0,true, 0, 9940, 0, 0, 0,100599, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.572672,0.9,LH_MCSLOCK, 0,50000,SILO,true, 9845, 0.59567,0,true,false, 1000000,0.5, 3.92656,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 9.84582,0, 0, 0.0178771, 0, 0,true, 0, 9845, 0, 0, 0,101566, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.569276,0.9,LH_MCSLOCK, 0,50000,SILO,true, 9820, 0.594897,0,true,false, 1000000,0.5, 3.91066,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 9.82015,0, 0, 0.017951, 0, 0,true, 0, 9820, 0, 0, 0,101831, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.578096,0.9,LH_MCSLOCK, 0,50000,SILO,true, 9976, 0.597232,0,true,false, 1000000,0.5, 4.02671,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 9.97615,0, 0, 0.0179472, 0, 0,true, 0, 9976, 0, 0, 0,100239, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.569379,0.9,LH_MCSLOCK, 0,50000,SILO,true, 9835, 0.594284,0,true,false, 1000000,0.5, 3.92121,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 9.83514,0, 0, 0.0179402, 0, 0,true, 0, 9835, 0, 0, 0,101676, 0,false, 0
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.322465,0.9,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 8007, 0.196168,0,true,false, 1000000,0.5, 2.52175,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.00757,0, 0, 0.0179951, 0, 0,true, 0, 8007, 0, 0, 0,124882, 0,false, 22008584
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.32282,0.9,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 8015, 0.195665,0,true,false, 1000000,0.5, 2.51549,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.01535,0, 0, 0.0179528, 0, 0,true, 0, 8015, 0, 0, 0,124761, 0,false, 22014978
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.324173,0.9,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 7888, 0.195855,0,true,false, 1000000,0.5, 2.47396,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.88828,0, 0, 0.0178909, 0, 0,true, 0, 7888, 0, 0, 0,126770, 0,false, 22005500
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.34071,0.9,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 8080, 0.213052,0,true,false, 1000000,0.5, 2.58028,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 8.08054,0, 0, 0.0194303, 0, 0,true, 0, 8080, 0, 0, 0,123754, 0,false, 23800156
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.329096,0.9,LH_MCSLOCK, 0,50000,WOUND_WAIT,true, 7955, 0.201383,0,true,false, 1000000,0.5, 2.50036,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.95568,0, 0, 0.0182645, 0, 0,true, 0, 7955, 0, 0, 0,125696, 0,false, 22592742
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.281396,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7852, 0.09732,0,true,false, 1000000,0.5, 2.39547,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.85258,0, 0, 0.0496235, 0, 0,true, 0, 7852, 0, 0, 0,127347, 0,false, 23708606
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.269812,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7763, 0.0935595,0,true,false, 1000000,0.5, 2.38201,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.76301,0, 0, 0.0477607, 0, 0,true, 0, 7763, 0, 0, 0,128816, 0,false, 22773364
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.271558,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7749, 0.0940502,0,true,false, 1000000,0.5, 2.3867,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.74977,0, 0, 0.0476542, 0, 0,true, 0, 7749, 0, 0, 0,129036, 0,false, 22730982
true,0, 0, 0, 0,false,1000000,10,0, 0,false, 0,false, 0, 0.275171,0.9,LH_MCSLOCK, 0,50000,WAIT_DIE,true, 7761, 0.0935142,0,true,false, 1000000,0.5, 2.37091,10000000,0, 0,false, 0,true,1000,false, 0,true,16,false,1,true,0,true, 0,YCSB, 7.76131,0, 0, 0.0476906, 0, 0,true, 0, 7761, 0, 0, 0,128844, 0,false, 22765906
