0,2,1
start txn 0,,
,start txn 2,
,wait SH lock 536900749115690,
,acquire lock 536900749115690,
,remove lock 536900749115690 from owners,
,retire lock 536900749115690,
,wait SH lock 536900749124528,
,acquire lock 536900749124528,
,remove lock 536900749124528 from owners,
,retire lock 536900749124528,
wait SH lock 536900749115690,,
,wait SH lock 536901344810729,
acquire lock 536900749115690,,
,acquire lock 536901344810729,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
"txn 0 increment barrier, now should be 1",,
wait SH lock 536900749121139,,
acquire lock 536900749121139,,
remove lock 536900749121139 from owners,,
retire lock 536900749121139,,
,remove lock 536901344810729 from owners,
,retire lock 536901344810729,
wait SH lock 536901245273968,,
,pre-commit: txn 2's barriers = 0,
acquire lock 536901245273968,,
,txn 2 set commited,
remove lock 536901245273968 from owners,,
,release lock 536901344810729 from retired,
retire lock 536901245273968,,
pre-commit: txn 0's barriers = 1,,
,release lock 536900749124528 from retired,
,release lock 536900749115690 from retired,
"txn 0 decrement barrier, now should be 0",,
,,start txn 1
txn 0 set commited,,
release lock 536901245273968 from retired,,
,,wait SH lock 536900749115690
release lock 536900749121139 from retired,,
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
,,"txn 1 increment barrier, now should be 1"
,,wait SH lock 536900749126631
release lock 536900749115690 from retired,,
,,acquire lock 536900749126631
,start txn 5,
,,remove lock 536900749126631 from owners
,,retire lock 536900749126631
,,"txn 1 decrement barrier, now should be 0"
,,wait SH lock 536901432083525
,,acquire lock 536901432083525
,,remove lock 536901432083525 from owners
,,retire lock 536901432083525
,,pre-commit: txn 1's barriers = 0
,,txn 1 set commited
,wait SH lock 536900749115690,
,,release lock 536901432083525 from retired
,,release lock 536900749126631 from retired
,acquire lock 536900749115690,
start txn 3,,
,remove lock 536900749115690 from owners,
,retire lock 536900749115690,
,"txn 5 increment barrier, now should be 1",
,wait SH lock 536900749121139,
,acquire lock 536900749121139,
,remove lock 536900749121139 from owners,
,retire lock 536900749121139,
wound 1 on 536900749115690,,1 wounded by 3
,,removed lock 536900749115690 from retired by 3
,"txn 5 decrement barrier, now should be 0",
wound txn 5,txn 5 set abort by 3,
wound 5 on 536900749115690,5 wounded by 3,
,removed lock 536900749115690 from retired by 3,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
,txn 5 set aborted,
,release lock 536900749121139 from retired,
remove lock 536900749115690 from owners,,
,,start txn 4
retire lock 536900749115690,,
wait SH lock 536900749119881,,
acquire lock 536900749119881,,
remove lock 536900749119881 from owners,,
retire lock 536900749119881,,
wait SH lock 536901204110764,,
acquire lock 536901204110764,,
remove lock 536901204110764 from owners,,
retire lock 536901204110764,,
pre-commit: txn 3's barriers = 0,,
txn 3 set commited,,
release lock 536901204110764 from retired,,
release lock 536900749119881 from retired,,
release lock 536900749115690 from retired,,
start txn 6,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait SH lock 536900749123440,,
acquire lock 536900749123440,,
remove lock 536900749123440 from owners,,
retire lock 536900749123440,,
wait SH lock 536901316385474,,
acquire lock 536901316385474,,
remove lock 536901316385474 from owners,,
retire lock 536901316385474,,
pre-commit: txn 6's barriers = 0,,
txn 6 set commited,,
release lock 536901316385474 from retired,,
release lock 536900749123440 from retired,,
,,wait SH lock 536900749115690
,,acquire lock 536900749115690
,,remove lock 536900749115690 from owners
,,retire lock 536900749115690
,,"txn 4 increment barrier, now should be 1"
,,wait SH lock 536900749124528
,,acquire lock 536900749124528
release lock 536900749115690 from retired,,
,,"txn 4 decrement barrier, now should be 0"
start txn 9,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
"txn 9 increment barrier, now should be 1",,
wait SH lock 536900749121139,,
acquire lock 536900749121139,,
remove lock 536900749121139 from owners,,
retire lock 536900749121139,,
wait SH lock 536901236914543,,
acquire lock 536901236914543,,
remove lock 536901236914543 from owners,,
retire lock 536901236914543,,
pre-commit: txn 9's barriers = 1,,
,,remove lock 536900749124528 from owners
,,retire lock 536900749124528
,,wait SH lock 536901459053117
,,acquire lock 536901459053117
,,remove lock 536901459053117 from owners
,,retire lock 536901459053117
,,pre-commit: txn 4's barriers = 0
,,txn 4 set commited
,,release lock 536901459053117 from retired
,,release lock 536900749124528 from retired
,,release lock 536900749115690 from retired
"txn 9 decrement barrier, now should be 0",,
txn 9 set commited,,
,,start txn 7
